step,time,reward,seed
0.0,2.1427848,0.0,0
5000.0,87.07669,0.0,0
10000.0,179.41698,0.0,0
20000.0,375.58496,0.0,0
30000.0,599.1817,0.0,0
40000.0,842.1283999999999,0.0,0
50000.0,1063.5126,0.0,0
60000.0,1307.4989,0.0,0
70000.0,1536.5544,4.7,0
80000.0,1825.4957,35.1,0
90000.0,2066.8374,34.2,0
100000.0,2293.9668,49.1,0
110000.0,2539.2002,46.0,0
120000.0,2760.6555,51.7,0
130000.0,2980.0017,54.9,0
140000.0,3202.0664,51.5,0
150000.0,3405.7159999999994,94.7,0
160000.0,3617.7444000000005,337.1,0
170000.0,3850.7307,501.6,0
180000.0,4069.2600000000007,839.1,0
190000.0,4289.849,840.0,0
200000.0,4516.5605,841.1,0
210000.0,4744.37,842.1,0
220000.0,4960.168,841.1,0
230000.0,5173.194,840.3,0
240000.0,5392.2803,840.0,0
250000.0,5614.0444,843.3,0
260000.0,5837.0522,819.9,0
270000.0,6046.0903,844.3,0
280000.0,6261.9478,845.6,0
290000.0,6467.721,845.5,0
300000.0,6667.0146,846.5,0
310000.0,6870.992,845.2,0
320000.0,7083.7046,845.1,0
330000.0,7290.987299999999,846.2,0
340000.0,7503.473,845.9,0
350000.0,7709.464,844.5,0
360000.0,7916.777,847.0,0
370000.0,8123.9717,846.8,0
380000.0,8336.632,845.1,0
390000.0,8550.139,846.1,0
400000.0,8748.763,847.6,0
410000.0,8954.825,847.2,0
420000.0,9165.033,846.9,0
430000.0,9356.8955,700.5,0
440000.0,9557.394,847.2,0
450000.0,9752.565,847.2,0
460000.0,9958.377,846.1,0
470000.0,10161.938,845.9,0
480000.0,10361.253,847.0,0
490000.0,10561.462,848.3,0
500000.0,10777.234,847.7,0
0.0,2.1427848,0.0,3
5000.0,87.07669,0.0,3
10000.0,179.41698,0.0,3
20000.0,375.58496,0.0,3
30000.0,599.1817,0.0,3
40000.0,842.1283999999999,0.0,3
50000.0,1063.5126,0.0,3
60000.0,1307.4989,0.0,3
70000.0,1536.5544,1.4,3
80000.0,1825.4957,28.7,3
90000.0,2066.8374,34.2,3
100000.0,2293.9668,39.7,3
110000.0,2539.2002,0.0,3
120000.0,2760.6555,0.0,3
130000.0,2980.0017,834.1,3
140000.0,3202.0664,832.0,3
150000.0,3405.7159999999994,837.8,3
160000.0,3617.7444000000005,838.1,3
170000.0,3850.7307,841.0,3
180000.0,4069.2600000000007,836.2,3
190000.0,4289.849,808.1,3
200000.0,4516.5605,833.0,3
210000.0,4744.37,843.1,3
220000.0,4960.168,833.5,3
230000.0,5173.194,800.7,3
240000.0,5392.2803,816.9,3
250000.0,5614.0444,846.0,3
260000.0,5837.0522,846.7,3
270000.0,6046.0903,848.9,3
280000.0,6261.9478,848.1,3
290000.0,6467.721,849.0,3
300000.0,6667.0146,845.9,3
310000.0,6870.992,847.8,3
320000.0,7083.7046,827.1,3
330000.0,7290.987299999999,846.4,3
340000.0,7503.473,812.4,3
350000.0,7709.464,848.9,3
360000.0,7916.777,847.7,3
370000.0,8123.9717,848.3,3
380000.0,8336.632,848.1,3
390000.0,8550.139,849.0,3
400000.0,8748.763,847.8,3
410000.0,8954.825,847.9,3
420000.0,9165.033,848.6,3
430000.0,9356.8955,848.6,3
440000.0,9557.394,847.9,3
450000.0,9752.565,849.1,3
460000.0,9958.377,848.7,3
470000.0,10161.938,848.5,3
480000.0,10361.253,849.1,3
490000.0,10561.462,849.1,3
500000.0,10777.234,824.3,3
0.0,2.1427848,0.0,7
5000.0,87.07669,0.0,7
10000.0,179.41698,0.0,7
20000.0,375.58496,0.0,7
30000.0,599.1817,2.0,7
40000.0,842.1283999999999,34.1,7
50000.0,1063.5126,41.0,7
60000.0,1307.4989,42.1,7
70000.0,1536.5544,57.1,7
80000.0,1825.4957,401.8,7
90000.0,2066.8374,828.8,7
100000.0,2293.9668,829.3,7
110000.0,2539.2002,837.9,7
120000.0,2760.6555,837.8,7
130000.0,2980.0017,838.7,7
140000.0,3202.0664,839.9,7
150000.0,3405.7159999999994,812.4,7
160000.0,3617.7444000000005,840.0,7
170000.0,3850.7307,841.7,7
180000.0,4069.2600000000007,845.2,7
190000.0,4289.849,843.6,7
200000.0,4516.5605,846.1,7
210000.0,4744.37,846.1,7
220000.0,4960.168,845.9,7
230000.0,5173.194,846.6,7
240000.0,5392.2803,847.8,7
250000.0,5614.0444,846.3,7
260000.0,5837.0522,845.2,7
270000.0,6046.0903,823.6,7
280000.0,6261.9478,847.2,7
290000.0,6467.721,847.1,7
300000.0,6667.0146,849.0,7
310000.0,6870.992,846.4,7
320000.0,7083.7046,848.0,7
330000.0,7290.987299999999,847.5,7
340000.0,7503.473,847.8,7
350000.0,7709.464,845.3,7
360000.0,7916.777,847.6,7
370000.0,8123.9717,847.0,7
380000.0,8336.632,848.1,7
390000.0,8550.139,846.5,7
400000.0,8748.763,847.9,7
410000.0,8954.825,727.2,7
420000.0,9165.033,848.4,7
430000.0,9356.8955,848.7,7
440000.0,9557.394,848.0,7
450000.0,9752.565,824.5,7
460000.0,9958.377,848.0,7
470000.0,10161.938,847.9,7
480000.0,10361.253,848.7,7
490000.0,10561.462,849.1,7
500000.0,10777.234,848.9,7
0.0,2.1427848,0.0,1
5000.0,87.07669,0.0,1
10000.0,179.41698,0.0,1
20000.0,375.58496,0.0,1
30000.0,599.1817,0.0,1
40000.0,842.1283999999999,0.0,1
50000.0,1063.5126,0.0,1
60000.0,1307.4989,0.0,1
70000.0,1536.5544,0.0,1
80000.0,1825.4957,0.0,1
90000.0,2066.8374,1.9,1
100000.0,2293.9668,10.5,1
110000.0,2539.2002,35.0,1
120000.0,2760.6555,40.6,1
130000.0,2980.0017,39.8,1
140000.0,3202.0664,40.0,1
150000.0,3405.7159999999994,38.4,1
160000.0,3617.7444000000005,40.4,1
170000.0,3850.7307,42.4,1
180000.0,4069.2600000000007,37.4,1
190000.0,4289.849,39.7,1
200000.0,4516.5605,39.2,1
210000.0,4744.37,41.1,1
220000.0,4960.168,38.4,1
230000.0,5173.194,39.9,1
240000.0,5392.2803,43.4,1
250000.0,5614.0444,47.6,1
260000.0,5837.0522,55.2,1
270000.0,6046.0903,62.9,1
280000.0,6261.9478,58.9,1
290000.0,6467.721,410.8,1
300000.0,6667.0146,701.0,1
310000.0,6870.992,831.9,1
320000.0,7083.7046,834.0,1
330000.0,7290.987299999999,841.0,1
340000.0,7503.473,841.1,1
350000.0,7709.464,725.6,1
360000.0,7916.777,842.7,1
370000.0,8123.9717,842.1,1
380000.0,8336.632,791.1,1
390000.0,8550.139,843.3,1
400000.0,8748.763,843.5,1
410000.0,8954.825,844.5,1
