step,time,reward,seed
0.0,3.3081790999999994,18.1,0
5000.0,80.022675,223.4,0
10000.0,164.76868,0.0,0
20000.0,379.34674,95.0,0
30000.0,614.2419,98.4,0
40000.0,902.6581,0.8,0
50000.0,1171.308,26.6,0
60000.0,1447.7394,127.5,0
70000.0,1741.2617999999998,348.3,0
80000.0,2025.35,396.6,0
90000.0,2290.4824,514.1,0
100000.0,2563.5142,288.5,0
110000.0,2846.6748,485.9,0
120000.0,3111.6929,194.0,0
130000.0,3367.443,439.2,0
140000.0,3660.7812,556.8,0
150000.0,3934.5566,547.0,0
160000.0,4250.3076,554.3,0
170000.0,4537.4487,669.0,0
180000.0,4790.7734,805.7,0
190000.0,5053.385,811.1,0
200000.0,5294.3325,850.0,0
210000.0,5537.975,700.7,0
220000.0,5802.5674,753.7,0
230000.0,6078.7183,657.9,0
240000.0,6344.7085,652.5,0
250000.0,6595.991,664.8,0
260000.0,6891.2617,674.1,0
270000.0,7110.104000000001,842.2,0
280000.0,7362.1669999999995,569.6,0
290000.0,7545.991,651.3,0
300000.0,7753.0779999999995,659.4,0
310000.0,7969.0938,841.6,0
320000.0,8207.868,579.5,0
330000.0,8448.683,832.5,0
340000.0,8676.367,828.4,0
350000.0,8882.102,750.5,0
360000.0,9109.694,845.5,0
370000.0,9350.132,853.2,0
380000.0,9557.54,422.4,0
390000.0,9742.05,838.0,0
400000.0,9946.819,855.8,0
410000.0,10152.388,928.6,0
420000.0,10337.422,849.1,0
430000.0,10542.799,849.5,0
440000.0,10728.212,847.1,0
450000.0,10933.77,848.8,0
460000.0,11140.522,848.4,0
470000.0,11348.083,643.3,0
480000.0,11534.05,748.2,0
490000.0,11719.748,844.8,0
500000.0,11903.365,888.0,0
0.0,3.3081790999999994,55.6,1
5000.0,80.022675,399.5,1
10000.0,164.76868,0.0,1
20000.0,379.34674,72.7,1
30000.0,614.2419,89.2,1
40000.0,902.6581,97.0,1
50000.0,1171.308,138.3,1
60000.0,1447.7394,195.1,1
70000.0,1741.2617999999998,287.5,1
80000.0,2025.35,5.3,1
90000.0,2290.4824,479.1,1
100000.0,2563.5142,305.1,1
110000.0,2846.6748,92.8,1
120000.0,3111.6929,290.7,1
130000.0,3367.443,566.4,1
140000.0,3660.7812,458.6,1
150000.0,3934.5566,758.7,1
160000.0,4250.3076,813.2,1
170000.0,4537.4487,674.3,1
180000.0,4790.7734,605.3,1
190000.0,5053.385,855.9,1
200000.0,5294.3325,667.5,1
210000.0,5537.975,533.9,1
220000.0,5802.5674,637.0,1
230000.0,6078.7183,842.4,1
240000.0,6344.7085,836.7,1
250000.0,6595.991,588.5,1
260000.0,6891.2617,855.2,1
270000.0,7110.104000000001,897.8,1
280000.0,7362.1669999999995,737.6,1
290000.0,7545.991,840.2,1
300000.0,7753.0779999999995,768.8,1
310000.0,7969.0938,767.2,1
320000.0,8207.868,559.4,1
330000.0,8448.683,657.8,1
340000.0,8676.367,712.6,1
350000.0,8882.102,703.4,1
360000.0,9109.694,720.1,1
370000.0,9350.132,680.1,1
380000.0,9557.54,743.6,1
390000.0,9742.05,932.8,1
400000.0,9946.819,849.9,1
410000.0,10152.388,750.9,1
420000.0,10337.422,755.8,1
430000.0,10542.799,910.2,1
440000.0,10728.212,835.5,1
450000.0,10933.77,885.1,1
460000.0,11140.522,843.4,1
470000.0,11348.083,832.9,1
480000.0,11534.05,860.6,1
490000.0,11719.748,770.4,1
500000.0,11903.365,867.3,1
0.0,3.3081790999999994,156.6,2
5000.0,80.022675,291.4,2
10000.0,164.76868,93.7,2
20000.0,379.34674,72.4,2
30000.0,614.2419,102.7,2
40000.0,902.6581,189.0,2
50000.0,1171.308,127.4,2
60000.0,1447.7394,314.2,2
70000.0,1741.2617999999998,441.5,2
80000.0,2025.35,394.3,2
90000.0,2290.4824,362.5,2
100000.0,2563.5142,479.5,2
110000.0,2846.6748,657.9,2
120000.0,3111.6929,667.0,2
130000.0,3367.443,767.5,2
140000.0,3660.7812,731.0,2
150000.0,3934.5566,847.9,2
160000.0,4250.3076,961.4,2
170000.0,4537.4487,848.7,2
180000.0,4790.7734,925.2,2
190000.0,5053.385,950.4,2
200000.0,5294.3325,943.2,2
210000.0,5537.975,949.7,2
220000.0,5802.5674,837.2,2
230000.0,6078.7183,947.3,2
240000.0,6344.7085,962.1,2
250000.0,6595.991,954.4,2
260000.0,6891.2617,942.0,2
270000.0,7110.104000000001,940.9,2
280000.0,7362.1669999999995,830.9,2
290000.0,7545.991,942.5,2
300000.0,7753.0779999999995,931.2,2
310000.0,7969.0938,841.8,2
320000.0,8207.868,827.0,2
330000.0,8448.683,840.3,2
340000.0,8676.367,955.1,2
350000.0,8882.102,846.7,2
360000.0,9109.694,967.8,2
370000.0,9350.132,943.1,2
380000.0,9557.54,967.7,2
390000.0,9742.05,953.8,2
400000.0,9946.819,854.1,2
410000.0,10152.388,972.7,2
420000.0,10337.422,867.0,2
430000.0,10542.799,952.7,2
440000.0,10728.212,935.7,2
450000.0,10933.77,937.0,2
460000.0,11140.522,955.3,2
470000.0,11348.083,853.4,2
