step,time,reward,seed
2600.0,61.34673607099374,65.0,0.0
20000.0,471.8979697768749,0.0,0.0
40000.0,943.7959395537498,260.0,0.0
60000.0,1415.6939093306248,885.0,0.0
80000.0,1887.5918791074996,963.0,0.0
100000.0,2359.4898488843746,954.0,0.0
120000.0,2831.3878186612496,954.0,0.0
140000.0,3303.2857884381247,897.0,0.0
160000.0,3775.183758214999,960.0,0.0
180000.0,4247.081727991875,884.0,0.0
200000.0,4718.979697768749,959.0,0.0
220000.0,5190.877667545625,960.0,0.0
240000.0,5662.775637322499,958.0,0.0
10000.0,235.94898488843745,0.0,1.0
20000.0,471.8979697768749,147.0,1.0
30000.0,707.8469546653124,260.0,1.0
40000.0,943.7959395537498,508.0,1.0
50000.0,1179.7449244421873,913.0,1.0
60000.0,1415.6939093306248,888.0,1.0
70000.0,1651.6428942190623,876.0,1.0
80000.0,1887.5918791074996,960.0,1.0
90000.0,2123.5408639959373,918.0,1.0
100000.0,2359.4898488843746,982.0,1.0
110000.0,2595.4388337728124,947.5,1.0
120000.0,2831.3878186612496,977.0,1.0
130000.0,3067.336803549687,925.0,1.0
140000.0,3303.2857884381247,921.0,1.0
150000.0,3539.234773326562,937.0,1.0
160000.0,3775.183758214999,982.0,1.0
170000.0,4011.132743103437,984.0,1.0
180000.0,4247.081727991875,965.0,1.0
190000.0,4483.0307128803115,936.0,1.0
200000.0,4718.979697768749,908.0,1.0
210000.0,4954.928682657187,966.0,1.0
220000.0,5190.877667545625,960.0,1.0
230000.0,5426.8266524340615,950.0,1.0
240000.0,5662.775637322499,809.0,1.0
10000.0,235.94898488843745,0.0,2.0
20000.0,471.8979697768749,974.0,2.0
30000.0,707.8469546653124,415.5,2.0
40000.0,943.7959395537498,931.0,2.0
50000.0,1179.7449244421873,958.0,2.0
60000.0,1415.6939093306248,951.0,2.0
70000.0,1651.6428942190623,915.0,2.0
80000.0,1887.5918791074996,870.0,2.0
90000.0,2123.5408639959373,626.0,2.0
100000.0,2359.4898488843746,953.0,2.0
110000.0,2595.4388337728124,900.0,2.0
120000.0,2831.3878186612496,906.0,2.0
130000.0,3067.336803549687,950.0,2.0
140000.0,3303.2857884381247,955.0,2.0
150000.0,3539.234773326562,955.0,2.0
160000.0,3775.183758214999,987.0,2.0
170000.0,4011.132743103437,878.0,2.0
180000.0,4247.081727991875,958.0,2.0
190000.0,4483.0307128803115,936.5,2.0
200000.0,4718.979697768749,951.0,2.0
210000.0,4954.928682657187,982.0,2.0
220000.0,5190.877667545625,960.0,2.0
230000.0,5426.8266524340615,952.5,2.0
240000.0,5662.775637322499,957.0,2.0
10000.0,235.94898488843745,0.0,3.0
20000.0,471.8979697768749,0.0,3.0
30000.0,707.8469546653124,890.0,3.0
40000.0,943.7959395537498,935.0,3.0
50000.0,1179.7449244421873,807.0,3.0
60000.0,1415.6939093306248,921.0,3.0
70000.0,1651.6428942190623,976.0,3.0
80000.0,1887.5918791074996,989.0,3.0
90000.0,2123.5408639959373,878.0,3.0
100000.0,2359.4898488843746,911.0,3.0
110000.0,2595.4388337728124,943.5,3.0
120000.0,2831.3878186612496,972.0,3.0
130000.0,3067.336803549687,994.0,3.0
140000.0,3303.2857884381247,895.0,3.0
150000.0,3539.234773326562,959.0,3.0
160000.0,3775.183758214999,969.0,3.0
170000.0,4011.132743103437,966.0,3.0
180000.0,4247.081727991875,963.0,3.0
190000.0,4483.0307128803115,941.5,3.0
200000.0,4718.979697768749,959.0,3.0
210000.0,4954.928682657187,992.0,3.0
220000.0,5190.877667545625,911.0,3.0
230000.0,5426.8266524340615,967.0,3.0
240000.0,5662.775637322499,984.0,3.0
10000.0,235.94898488843745,0.0,4.0
20000.0,471.8979697768749,0.0,4.0
30000.0,707.8469546653124,0.0,4.0
40000.0,943.7959395537498,0.0,4.0
50000.0,1179.7449244421873,178.0,4.0
60000.0,1415.6939093306248,897.0,4.0
70000.0,1651.6428942190623,978.5,4.0
80000.0,1887.5918791074996,854.0,4.0
90000.0,2123.5408639959373,907.0,4.0
100000.0,2359.4898488843746,802.0,4.0
110000.0,2595.4388337728124,919.5,4.0
120000.0,2831.3878186612496,962.0,4.0
130000.0,3067.336803549687,958.0,4.0
140000.0,3303.2857884381247,976.0,4.0
150000.0,3539.234773326562,951.0,4.0
160000.0,3775.183758214999,951.0,4.0
170000.0,4011.132743103437,939.0,4.0
180000.0,4247.081727991875,967.0,4.0
190000.0,4483.0307128803115,954.5,4.0
200000.0,4718.979697768749,968.0,4.0
210000.0,4954.928682657187,995.0,4.0
220000.0,5190.877667545625,960.0,4.0
230000.0,5426.8266524340615,966.0,4.0
240000.0,5662.775637322499,958.0,4.0
2600.0,61.34673607099374,0.0,22.0
20000.0,471.8979697768749,991.0,22.0
40000.0,943.7959395537498,873.0,22.0
60000.0,1415.6939093306248,936.0,22.0
80000.0,1887.5918791074996,945.0,22.0
100000.0,2359.4898488843746,958.0,22.0
120000.0,2831.3878186612496,925.0,22.0
140000.0,3303.2857884381247,919.0,22.0
160000.0,3775.183758214999,955.0,22.0
180000.0,4247.081727991875,957.0,22.0
200000.0,4718.979697768749,967.0,22.0
220000.0,5190.877667545625,964.0,22.0
240000.0,5662.775637322499,951.0,22.0
2600.0,61.34673607099374,0.0,20.0
20000.0,471.8979697768749,961.0,20.0
40000.0,943.7959395537498,0.0,20.0
60000.0,1415.6939093306248,941.0,20.0
80000.0,1887.5918791074996,985.0,20.0
100000.0,2359.4898488843746,0.0,20.0
120000.0,2831.3878186612496,953.0,20.0
140000.0,3303.2857884381247,942.0,20.0
160000.0,3775.183758214999,924.0,20.0
180000.0,4247.081727991875,871.0,20.0
