step,time,reward,seed
2600.0,56.79209008482932,0.0,0.0
20000.0,436.86223142176397,0.0,0.0
40000.0,873.7244628435279,0.0,0.0
60000.0,1310.586694265292,891.0,0.0
80000.0,1747.4489256870559,936.0,0.0
100000.0,2184.3111571088198,954.0,0.0
120000.0,2621.173388530584,890.0,0.0
140000.0,3058.0356199523476,829.0,0.0
160000.0,3494.8978513741117,936.0,0.0
180000.0,3931.760082795876,939.0,0.0
200000.0,4368.6223142176395,937.0,0.0
220000.0,4805.484545639404,955.0,0.0
240000.0,5242.346777061168,936.0,0.0
260000.0,5679.2090084829315,864.0,0.0
280000.0,6116.071239904695,951.0,0.0
300000.0,6552.93347132646,949.0,0.0
320000.0,6989.795702748223,957.0,0.0
340000.0,7426.657934169988,966.0,0.0
360000.0,7863.520165591752,858.0,0.0
380000.0,8300.382397013516,962.0,0.0
400000.0,8737.244628435279,893.0,0.0
420000.0,9174.106859857044,937.0,0.0
440000.0,9610.969091278808,964.0,0.0
460000.0,10047.831322700571,789.0,0.0
480000.0,10484.693554122336,826.0,0.0
10000.0,218.43111571088198,15.0,1.0
20000.0,436.86223142176397,3.0,1.0
30000.0,655.293347132646,189.0,1.0
40000.0,873.7244628435279,646.0,1.0
50000.0,1092.1555785544099,657.0,1.0
60000.0,1310.586694265292,892.0,1.0
70000.0,1529.0178099761738,747.0,1.0
80000.0,1747.4489256870559,888.0,1.0
90000.0,1965.880041397938,921.0,1.0
100000.0,2184.3111571088198,907.0,1.0
110000.0,2402.742272819702,727.5,1.0
120000.0,2621.173388530584,972.0,1.0
130000.0,2839.6045042414657,917.0,1.0
140000.0,3058.0356199523476,937.0,1.0
150000.0,3276.46673566323,896.5,1.0
160000.0,3494.8978513741117,956.0,1.0
170000.0,3713.328967084994,885.0,1.0
180000.0,3931.760082795876,905.0,1.0
190000.0,4150.191198506758,936.5,1.0
200000.0,4368.6223142176395,884.0,1.0
210000.0,4587.053429928522,943.0,1.0
220000.0,4805.484545639404,913.0,1.0
230000.0,5023.9156613502855,928.0,1.0
240000.0,5242.346777061168,909.0,1.0
250000.0,5460.777892772049,881.0,1.0
260000.0,5679.2090084829315,954.0,1.0
270000.0,5897.640124193814,960.5,1.0
280000.0,6116.071239904695,934.0,1.0
290000.0,6334.5023556155775,922.0,1.0
300000.0,6552.93347132646,959.0,1.0
310000.0,6771.364587037341,950.0,1.0
320000.0,6989.795702748223,955.0,1.0
330000.0,7208.226818459106,918.0,1.0
340000.0,7426.657934169988,958.0,1.0
350000.0,7645.089049880869,943.5,1.0
360000.0,7863.520165591752,920.0,1.0
370000.0,8081.951281302634,942.0,1.0
380000.0,8300.382397013516,984.0,1.0
390000.0,8518.813512724399,955.5,1.0
400000.0,8737.244628435279,936.0,1.0
410000.0,8955.675744146161,940.0,1.0
420000.0,9174.106859857044,930.0,1.0
430000.0,9392.537975567926,963.5,1.0
440000.0,9610.969091278808,950.0,1.0
450000.0,9829.40020698969,961.0,1.0
460000.0,10047.831322700571,945.0,1.0
470000.0,10266.262438411453,906.0,1.0
480000.0,10484.693554122336,968.0,1.0
10000.0,218.43111571088198,0.0,2.0
20000.0,436.86223142176397,0.0,2.0
30000.0,655.293347132646,0.0,2.0
40000.0,873.7244628435279,100.0,2.0
50000.0,1092.1555785544099,0.0,2.0
60000.0,1310.586694265292,44.0,2.0
70000.0,1529.0178099761738,261.5,2.0
80000.0,1747.4489256870559,156.0,2.0
90000.0,1965.880041397938,240.0,2.0
100000.0,2184.3111571088198,651.0,2.0
110000.0,2402.742272819702,329.5,2.0
120000.0,2621.173388530584,532.0,2.0
130000.0,2839.6045042414657,709.0,2.0
140000.0,3058.0356199523476,789.0,2.0
150000.0,3276.46673566323,914.5,2.0
160000.0,3494.8978513741117,911.0,2.0
170000.0,3713.328967084994,917.0,2.0
180000.0,3931.760082795876,932.0,2.0
190000.0,4150.191198506758,937.5,2.0
200000.0,4368.6223142176395,934.0,2.0
210000.0,4587.053429928522,858.0,2.0
220000.0,4805.484545639404,925.0,2.0
230000.0,5023.9156613502855,923.0,2.0
240000.0,5242.346777061168,975.0,2.0
250000.0,5460.777892772049,878.0,2.0
260000.0,5679.2090084829315,997.0,2.0
270000.0,5897.640124193814,911.0,2.0
280000.0,6116.071239904695,954.0,2.0
290000.0,6334.5023556155775,899.0,2.0
300000.0,6552.93347132646,943.0,2.0
310000.0,6771.364587037341,941.5,2.0
320000.0,6989.795702748223,931.0,2.0
330000.0,7208.226818459106,958.0,2.0
340000.0,7426.657934169988,914.0,2.0
350000.0,7645.089049880869,925.5,2.0
360000.0,7863.520165591752,930.0,2.0
370000.0,8081.951281302634,946.0,2.0
