step,time,reward,seed
0.0,5.029046,0.0,0
10000.0,11.056388,88.4,0
20000.0,68.27161,98.9,0
40000.0,182.79477,915.5,0
60000.0,298.1462,967.5,0
80000.0,413.44305,972.5,0
100000.0,529.13806,972.0,0
120000.0,644.97174,971.9,0
140000.0,760.818,969.0,0
160000.0,876.9405,968.7,0
180000.0,993.1484400000002,972.2,0
200000.0,1109.6791,979.1,0
220000.0,1225.9574,978.6,0
240000.0,1342.3672,975.7,0
260000.0,1459.0249,973.1,0
0.0,5.029046,0.0,1
10000.0,11.056388,99.2,1
20000.0,68.27161,660.1,1
40000.0,182.79477,867.2,1
60000.0,298.1462,777.4,1
80000.0,413.44305,955.9,1
100000.0,529.13806,972.9,1
120000.0,644.97174,975.4,1
140000.0,760.818,969.9,1
160000.0,876.9405,971.3,1
180000.0,993.1484400000002,972.5,1
200000.0,1109.6791,979.3,1
220000.0,1225.9574,973.1,1
240000.0,1342.3672,975.7,1
260000.0,1459.0249,971.7,1
0.0,5.029046,0.0,2
10000.0,11.056388,198.3,2
20000.0,68.27161,349.3,2
40000.0,182.79477,936.2,2
60000.0,298.1462,938.6,2
80000.0,413.44305,859.3,2
100000.0,529.13806,962.7,2
120000.0,644.97174,970.4,2
140000.0,760.818,921.6,2
160000.0,876.9405,973.1,2
180000.0,993.1484400000002,983.1,2
200000.0,1109.6791,967.4,2
220000.0,1225.9574,977.8,2
240000.0,1342.3672,973.1,2
260000.0,1459.0249,978.6,2
0.0,5.029046,125.0,3
10000.0,11.056388,0.0,3
20000.0,68.27161,938.2,3
40000.0,182.79477,939.2,3
60000.0,298.1462,976.3,3
80000.0,413.44305,963.3,3
100000.0,529.13806,975.0,3
120000.0,644.97174,982.6,3
140000.0,760.818,966.5,3
160000.0,876.9405,975.8,3
180000.0,993.1484400000002,984.3,3
200000.0,1109.6791,974.3,3
220000.0,1225.9574,976.2,3
240000.0,1342.3672,976.5,3
260000.0,1459.0249,982.0,3
0.0,5.029046,116.2,4
10000.0,11.056388,0.0,4
20000.0,68.27161,198.8,4
40000.0,182.79477,935.9,4
60000.0,298.1462,963.1,4
80000.0,413.44305,966.1,4
100000.0,529.13806,972.2,4
120000.0,644.97174,969.9,4
140000.0,760.818,972.1,4
160000.0,876.9405,980.9,4
180000.0,993.1484400000002,974.1,4
200000.0,1109.6791,974.4,4
220000.0,1225.9574,968.1,4
240000.0,1342.3672,977.9,4
260000.0,1459.0249,971.1,4
0.0,5.029046,0.0,5
10000.0,11.056388,0.0,5
20000.0,68.27161,395.9,5
40000.0,182.79477,954.0,5
60000.0,298.1462,932.1,5
80000.0,413.44305,962.3,5
100000.0,529.13806,967.7,5
120000.0,644.97174,978.3,5
140000.0,760.818,978.7,5
160000.0,876.9405,987.9,5
180000.0,993.1484400000002,974.3,5
200000.0,1109.6791,975.8,5
220000.0,1225.9574,980.1,5
240000.0,1342.3672,986.1,5
260000.0,1459.0249,979.1,5
0.0,5.029046,0.0,6
10000.0,11.056388,99.0,6
20000.0,68.27161,653.6,6
40000.0,182.79477,958.2,6
60000.0,298.1462,965.7,6
80000.0,413.44305,964.2,6
100000.0,529.13806,956.5,6
120000.0,644.97174,978.6,6
140000.0,760.818,978.1,6
160000.0,876.9405,975.3,6
180000.0,993.1484400000002,929.5,6
200000.0,1109.6791,978.8,6
220000.0,1225.9574,983.0,6
240000.0,1342.3672,976.7,6
260000.0,1459.0249,987.9,6
0.0,5.029046,103.3,7
10000.0,11.056388,188.0,7
20000.0,68.27161,675.3,7
40000.0,182.79477,683.5,7
60000.0,298.1462,907.8,7
80000.0,413.44305,964.2,7
100000.0,529.13806,931.7,7
120000.0,644.97174,974.1,7
140000.0,760.818,988.2,7
160000.0,876.9405,975.4,7
180000.0,993.1484400000002,969.7,7
200000.0,1109.6791,981.7,7
220000.0,1225.9574,979.3,7
240000.0,1342.3672,975.9,7
260000.0,1459.0249,984.2,7
