step,time,reward,seed
0.0,4.884283,0.4,0
10000.0,10.821168,0.0,0
20000.0,67.62336,6.2,0
40000.0,181.27048,306.0,0
60000.0,295.4935,383.7,0
80000.0,409.91852,387.2,0
100000.0,524.55707,384.5,0
120000.0,639.2935,409.7,0
140000.0,754.3213,383.6,0
160000.0,869.2882999999999,382.2,0
180000.0,984.5323499999998,439.1,0
200000.0,1099.8436,437.3,0
220000.0,1215.1295,436.7,0
240000.0,1330.6769,435.1,0
260000.0,1446.2643,437.5,0
280000.0,1561.9021,441.4,0
300000.0,1677.2303,436.3,0
320000.0,1793.0878,438.2,0
340000.0,1908.5776,437.9,0
360000.0,2024.4485,437.6,0
380000.0,2139.9622,439.1,0
400000.0,2255.9338,440.6,0
420000.0,2371.807,442.5,0
440000.0,2487.531,439.9,0
460000.0,2603.502,439.7,0
480000.0,2719.3816,441.6,0
500000.0,2835.5789,441.0,0
0.0,4.884283,1.4,1
10000.0,10.821168,0.0,1
20000.0,67.62336,2.6,1
40000.0,181.27048,259.7,1
60000.0,295.4935,746.7,1
80000.0,409.91852,780.3,1
100000.0,524.55707,794.7,1
120000.0,639.2935,807.8,1
140000.0,754.3213,842.3,1
160000.0,869.2882999999999,844.3,1
180000.0,984.5323499999998,812.0,1
200000.0,1099.8436,836.5,1
220000.0,1215.1295,822.5,1
240000.0,1330.6769,848.5,1
260000.0,1446.2643,844.7,1
280000.0,1561.9021,850.6,1
300000.0,1677.2303,845.9,1
320000.0,1793.0878,846.9,1
340000.0,1908.5776,851.3,1
360000.0,2024.4485,844.4,1
380000.0,2139.9622,841.1,1
400000.0,2255.9338,844.1,1
420000.0,2371.807,847.3,1
440000.0,2487.531,851.3,1
460000.0,2603.502,852.8,1
480000.0,2719.3816,852.4,1
500000.0,2835.5789,847.7,1
0.0,4.884283,0.1,2
10000.0,10.821168,0.0,2
20000.0,67.62336,0.0,2
40000.0,181.27048,1.8,2
60000.0,295.4935,5.3,2
80000.0,409.91852,291.6,2
100000.0,524.55707,418.2,2
120000.0,639.2935,492.4,2
140000.0,754.3213,500.3,2
160000.0,869.2882999999999,534.8,2
180000.0,984.5323499999998,558.6,2
200000.0,1099.8436,555.3,2
220000.0,1215.1295,546.9,2
240000.0,1330.6769,557.1,2
260000.0,1446.2643,541.4,2
280000.0,1561.9021,562.6,2
300000.0,1677.2303,558.1,2
320000.0,1793.0878,558.3,2
340000.0,1908.5776,558.7,2
360000.0,2024.4485,556.0,2
380000.0,2139.9622,555.5,2
400000.0,2255.9338,557.1,2
420000.0,2371.807,559.2,2
