step,time,reward,seed
0.0,5.4174175,57.6,0
10000.0,11.311681,400.0,0
20000.0,68.561646,100.0,0
40000.0,182.67897,34.2,0
60000.0,297.32858,198.5,0
80000.0,412.00885,100.0,0
100000.0,526.9399,296.5,0
120000.0,641.9656,192.9,0
140000.0,757.0087,200.0,0
160000.0,872.3705400000001,496.3,0
180000.0,987.7552,542.4,0
200000.0,1103.4996,559.8,0
220000.0,1219.0796,564.2,0
240000.0,1334.8455,283.4,0
260000.0,1450.758,485.9,0
280000.0,1566.3528,185.7,0
300000.0,1682.2992,668.7,0
320000.0,1797.8712,837.2,0
340000.0,1913.7842,873.1,0
360000.0,2029.5156,561.4,0
380000.0,2145.7195,970.0,0
400000.0,2261.7402,952.6,0
420000.0,2377.5999,780.7,0
440000.0,2493.974,877.6,0
460000.0,2609.9128,860.6,0
480000.0,2726.1648,766.7,0
500000.0,2842.1921,682.7,0
0.0,5.4174175,123.3,1
10000.0,11.311681,500.0,1
20000.0,68.561646,0.0,1
40000.0,182.67897,396.7,1
60000.0,297.32858,100.0,1
80000.0,412.00885,0.0,1
100000.0,526.9399,199.5,1
120000.0,641.9656,101.1,1
140000.0,757.0087,200.9,1
160000.0,872.3705400000001,296.7,1
180000.0,987.7552,395.6,1
200000.0,1103.4996,0.0,1
220000.0,1219.0796,290.0,1
240000.0,1334.8455,301.0,1
260000.0,1450.758,285.2,1
280000.0,1566.3528,200.4,1
300000.0,1682.2992,395.7,1
320000.0,1797.8712,98.9,1
340000.0,1913.7842,194.4,1
360000.0,2029.5156,100.0,1
380000.0,2145.7195,463.2,1
400000.0,2261.7402,275.0,1
420000.0,2377.5999,199.0,1
440000.0,2493.974,290.6,1
460000.0,2609.9128,395.6,1
480000.0,2726.1648,566.4,1
500000.0,2842.1921,509.8,1
0.0,5.4174175,282.1,2
10000.0,11.311681,400.0,2
20000.0,68.561646,3.1,2
40000.0,182.67897,96.0,2
60000.0,297.32858,200.0,2
80000.0,412.00885,298.1,2
100000.0,526.9399,400.3,2
120000.0,641.9656,498.7,2
140000.0,757.0087,489.0,2
160000.0,872.3705400000001,686.7,2
180000.0,987.7552,476.9,2
200000.0,1103.4996,562.1,2
220000.0,1219.0796,485.2,2
240000.0,1334.8455,774.4,2
260000.0,1450.758,575.0,2
280000.0,1566.3528,865.8,2
300000.0,1682.2992,690.5,2
320000.0,1797.8712,765.8,2
340000.0,1913.7842,592.5,2
360000.0,2029.5156,477.5,2
380000.0,2145.7195,492.2,2
400000.0,2261.7402,736.8,2
420000.0,2377.5999,868.9,2
440000.0,2493.974,911.5,2
460000.0,2609.9128,878.2,2
480000.0,2726.1648,978.8,2
500000.0,2842.1921,774.8,2
0.0,5.4174175,224.7,3
10000.0,11.311681,171.4,3
20000.0,68.561646,22.6,3
40000.0,182.67897,392.2,3
60000.0,297.32858,305.6,3
80000.0,412.00885,291.8,3
100000.0,526.9399,374.0,3
120000.0,641.9656,198.8,3
140000.0,757.0087,205.7,3
160000.0,872.3705400000001,350.2,3
180000.0,987.7552,577.9,3
200000.0,1103.4996,673.6,3
220000.0,1219.0796,472.8,3
240000.0,1334.8455,578.9,3
260000.0,1450.758,783.7,3
280000.0,1566.3528,656.1,3
300000.0,1682.2992,644.7,3
320000.0,1797.8712,857.1,3
340000.0,1913.7842,865.0,3
360000.0,2029.5156,765.7,3
380000.0,2145.7195,675.1,3
400000.0,2261.7402,970.7,3
420000.0,2377.5999,789.1,3
440000.0,2493.974,973.3,3
460000.0,2609.9128,972.8,3
480000.0,2726.1648,866.6,3
500000.0,2842.1921,865.5,3
0.0,5.4174175,147.9,4
10000.0,11.311681,100.0,4
20000.0,68.561646,101.0,4
40000.0,182.67897,200.0,4
60000.0,297.32858,98.9,4
80000.0,412.00885,0.0,4
100000.0,526.9399,200.8,4
120000.0,641.9656,197.3,4
140000.0,757.0087,299.3,4
160000.0,872.3705400000001,464.6,4
