step,time,reward,seed
0.0,1.8511031,11.5,0
10000.0,5.2433195,0.0,0
20000.0,52.39417999999999,456.0,0
40000.0,146.65009,572.7,0
60000.0,241.83565,751.7,0
80000.0,337.09277,855.3,0
100000.0,432.6483,772.4,0
120000.0,528.33356,859.4,0
140000.0,624.1019,757.2,0
160000.0,720.2291,874.6,0
180000.0,816.33093,775.7,0
200000.0,912.6894,771.4,0
220000.0,1008.9324300000001,968.6,0
240000.0,1105.319,970.4,0
260000.0,1201.8424,976.8,0
280000.0,1298.2196,880.2,0
300000.0,1394.5133,976.6,0
320000.0,1490.9614,974.2,0
340000.0,1587.5613,979.4,0
360000.0,1683.8517,976.8,0
380000.0,1780.5029,911.9,0
400000.0,1877.1465,870.3,0
420000.0,1974.0106,979.2,0
440000.0,2070.767,974.5,0
460000.0,2167.4856,981.6,0
480000.0,2264.426,982.3,0
500000.0,2361.2988,977.6,0
0.0,1.8511031,17.0,1
10000.0,5.2433195,12.3,1
20000.0,52.39417999999999,492.8,1
40000.0,146.65009,199.1,1
60000.0,241.83565,867.7,1
80000.0,337.09277,569.8,1
100000.0,432.6483,874.1,1
120000.0,528.33356,862.3,1
140000.0,624.1019,973.0,1
160000.0,720.2291,869.2,1
180000.0,816.33093,971.4,1
200000.0,912.6894,969.0,1
220000.0,1008.9324300000001,871.5,1
240000.0,1105.319,975.4,1
260000.0,1201.8424,883.3,1
280000.0,1298.2196,972.3,1
300000.0,1394.5133,973.2,1
320000.0,1490.9614,979.6,1
340000.0,1587.5613,975.8,1
360000.0,1683.8517,971.7,1
380000.0,1780.5029,975.0,1
400000.0,1877.1465,968.6,1
420000.0,1974.0106,883.6,1
440000.0,2070.767,980.8,1
460000.0,2167.4856,879.3,1
480000.0,2264.426,883.5,1
500000.0,2361.2988,982.6,1
0.0,1.8511031,11.1,2
10000.0,5.2433195,16.7,2
20000.0,52.39417999999999,657.2,2
40000.0,146.65009,378.7,2
60000.0,241.83565,862.6,2
80000.0,337.09277,875.5,2
100000.0,432.6483,874.8,2
120000.0,528.33356,965.7,2
140000.0,624.1019,971.4,2
160000.0,720.2291,973.2,2
180000.0,816.33093,974.7,2
200000.0,912.6894,870.0,2
220000.0,1008.9324300000001,970.5,2
240000.0,1105.319,983.4,2
260000.0,1201.8424,873.7,2
280000.0,1298.2196,975.9,2
300000.0,1394.5133,979.5,2
320000.0,1490.9614,974.5,2
340000.0,1587.5613,972.2,2
360000.0,1683.8517,979.7,2
380000.0,1780.5029,983.2,2
400000.0,1877.1465,979.2,2
420000.0,1974.0106,983.2,2
440000.0,2070.767,982.6,2
460000.0,2167.4856,880.2,2
480000.0,2264.426,977.8,2
500000.0,2361.2988,974.3,2
0.0,1.8511031,38.4,3
10000.0,5.2433195,16.9,3
20000.0,52.39417999999999,589.3,3
40000.0,146.65009,761.0,3
60000.0,241.83565,675.5,3
80000.0,337.09277,872.8,3
100000.0,432.6483,965.3,3
120000.0,528.33356,770.2,3
140000.0,624.1019,856.1,3
160000.0,720.2291,878.8,3
180000.0,816.33093,779.2,3
200000.0,912.6894,877.0,3
220000.0,1008.9324300000001,968.6,3
240000.0,1105.319,976.7,3
260000.0,1201.8424,975.5,3
280000.0,1298.2196,940.9,3
300000.0,1394.5133,979.4,3
320000.0,1490.9614,979.3,3
340000.0,1587.5613,882.7,3
360000.0,1683.8517,975.6,3
380000.0,1780.5029,979.0,3
400000.0,1877.1465,981.5,3
420000.0,1974.0106,980.2,3
440000.0,2070.767,982.1,3
460000.0,2167.4856,975.6,3
480000.0,2264.426,980.2,3
500000.0,2361.2988,975.0,3
0.0,1.8511031,5.8,4
10000.0,5.2433195,0.0,4
20000.0,52.39417999999999,768.9,4
40000.0,146.65009,406.2,4
60000.0,241.83565,866.0,4
80000.0,337.09277,662.7,4
100000.0,432.6483,869.6,4
120000.0,528.33356,946.2,4
140000.0,624.1019,874.8,4
160000.0,720.2291,971.7,4
180000.0,816.33093,797.4,4
