step,time,reward,seed
0.0,3.108958,57.6,0
10000.0,9.247117,400.0,0
200000.0,1239.3918,578.6,0
400000.0,2536.7773,778.2,0
600000.0,3839.124,975.9,0
800000.0,5135.252,962.6,0
1000000.0,6435.486,968.6,0
1200000.0,7728.770999999999,952.0,0
1400000.0,9030.58,976.1,0
1600000.0,10329.734,983.1,0
1800000.0,11627.903,967.3,0
2000000.0,12929.68,983.6,0
2200000.0,14229.591,978.3,0
2400000.0,15532.798,981.0,0
2600000.0,16830.678,979.1,0
2800000.0,18124.842,881.1,0
3000000.0,19423.68,980.8,0
3200000.0,20718.953,965.9,0
3400000.0,22015.682,983.5,0
3600000.0,23311.258,979.1,0
3800000.0,24615.791,981.1,0
4000000.0,25918.98,977.4,0
4200000.0,27219.311999999998,981.0,0
4400000.0,28515.245999999996,983.0,0
4600000.0,29812.196999999996,982.4,0
4800000.0,31107.506,981.5,0
5000000.0,32404.475,983.8,0
0.0,3.108958,123.3,1
10000.0,9.247117,500.0,1
200000.0,1239.3918,189.6,1
400000.0,2536.7773,663.9,1
600000.0,3839.124,771.5,1
800000.0,5135.252,959.4,1
1000000.0,6435.486,867.5,1
1200000.0,7728.770999999999,963.2,1
1400000.0,9030.58,977.5,1
1600000.0,10329.734,982.2,1
1800000.0,11627.903,987.1,1
2000000.0,12929.68,980.5,1
2200000.0,14229.591,974.5,1
2400000.0,15532.798,976.7,1
2600000.0,16830.678,969.1,1
2800000.0,18124.842,981.0,1
3000000.0,19423.68,979.5,1
3200000.0,20718.953,965.1,1
3400000.0,22015.682,979.4,1
3600000.0,23311.258,970.2,1
3800000.0,24615.791,981.8,1
4000000.0,25918.98,979.2,1
4200000.0,27219.311999999998,978.2,1
4400000.0,28515.245999999996,879.3,1
4600000.0,29812.196999999996,985.2,1
4800000.0,31107.506,983.2,1
5000000.0,32404.475,986.6,1
0.0,3.108958,282.1,2
10000.0,9.247117,400.0,2
200000.0,1239.3918,673.7,2
400000.0,2536.7773,775.7,2
600000.0,3839.124,864.7,2
800000.0,5135.252,875.7,2
1000000.0,6435.486,972.4,2
1200000.0,7728.770999999999,974.5,2
1400000.0,9030.58,978.1,2
1600000.0,10329.734,982.9,2
1800000.0,11627.903,977.9,2
2000000.0,12929.68,979.8,2
2200000.0,14229.591,964.4,2
2400000.0,15532.798,985.1,2
2600000.0,16830.678,976.3,2
2800000.0,18124.842,982.0,2
3000000.0,19423.68,981.6,2
3200000.0,20718.953,979.4,2
3400000.0,22015.682,976.1,2
3600000.0,23311.258,971.9,2
3800000.0,24615.791,976.1,2
4000000.0,25918.98,981.9,2
4200000.0,27219.311999999998,986.9,2
4400000.0,28515.245999999996,971.2,2
4600000.0,29812.196999999996,978.0,2
4800000.0,31107.506,984.5,2
5000000.0,32404.475,981.7,2
0.0,3.108958,224.7,3
10000.0,9.247117,171.4,3
200000.0,1239.3918,334.4,3
400000.0,2536.7773,879.7,3
600000.0,3839.124,970.1,3
800000.0,5135.252,875.9,3
1000000.0,6435.486,883.3,3
1200000.0,7728.770999999999,982.8,3
1400000.0,9030.58,982.0,3
1600000.0,10329.734,873.4,3
1800000.0,11627.903,877.5,3
2000000.0,12929.68,978.2,3
2200000.0,14229.591,976.3,3
2400000.0,15532.798,977.9,3
2600000.0,16830.678,985.6,3
2800000.0,18124.842,874.6,3
3000000.0,19423.68,976.5,3
3200000.0,20718.953,973.0,3
3400000.0,22015.682,978.2,3
3600000.0,23311.258,874.2,3
3800000.0,24615.791,976.3,3
4000000.0,25918.98,975.5,3
4200000.0,27219.311999999998,985.1,3
4400000.0,28515.245999999996,978.7,3
4600000.0,29812.196999999996,988.0,3
4800000.0,31107.506,971.2,3
5000000.0,32404.475,885.4,3
0.0,3.108958,147.9,4
10000.0,9.247117,100.0,4
200000.0,1239.3918,100.0,4
400000.0,2536.7773,750.6,4
600000.0,3839.124,475.3,4
800000.0,5135.252,671.7,4
1000000.0,6435.486,860.2,4
1200000.0,7728.770999999999,976.9,4
1400000.0,9030.58,976.6,4
1600000.0,10329.734,978.8,4
1800000.0,11627.903,882.2,4
2000000.0,12929.68,967.2,4
2200000.0,14229.591,887.0,4
2400000.0,15532.798,984.4,4
2600000.0,16830.678,974.3,4
2800000.0,18124.842,979.3,4
3000000.0,19423.68,977.3,4
3200000.0,20718.953,980.1,4
3400000.0,22015.682,978.8,4
3600000.0,23311.258,989.8,4
3800000.0,24615.791,988.7,4
4000000.0,25918.98,985.9,4
4200000.0,27219.311999999998,973.8,4
4400000.0,28515.245999999996,982.8,4
4600000.0,29812.196999999996,971.2,4
4800000.0,31107.506,983.8,4
5000000.0,32404.475,975.5,4
