step,time,reward,seed
0.0,2.2612717,18.1,0
10000.0,6.0125446,400.0,0
200000.0,1768.1526,191.0,0
400000.0,3614.6296,393.8,0
600000.0,5452.158,677.8,0
800000.0,7288.819,675.9,0
1000000.0,9162.705,958.4,0
1200000.0,11036.392,950.6,0
1400000.0,12899.124,966.5,0
1600000.0,14769.602000000003,875.7,0
1800000.0,16635.092,966.4,0
2000000.0,18504.082,969.9,0
2200000.0,20379.738,964.5,0
2400000.0,22226.72,871.0,0
2600000.0,24093.635,976.7,0
2800000.0,25962.064,948.8,0
3000000.0,27839.438000000002,929.3,0
3200000.0,29713.635,975.1,0
3400000.0,31602.021,976.5,0
3600000.0,33473.23,974.3,0
3800000.0,35331.113,978.0,0
4000000.0,37194.39,976.2,0
4200000.0,39061.18,980.2,0
4400000.0,40929.188,983.5,0
4600000.0,42789.145,973.3,0
4800000.0,44653.188,975.0,0
5000000.0,46517.965,978.7,0
0.0,2.2612717,55.6,1
10000.0,6.0125446,300.0,1
200000.0,1768.1526,98.8,1
400000.0,3614.6296,285.6,1
600000.0,5452.158,196.7,1
800000.0,7288.819,671.7,1
1000000.0,9162.705,654.2,1
1200000.0,11036.392,769.0,1
1400000.0,12899.124,964.2,1
1600000.0,14769.602000000003,963.6,1
1800000.0,16635.092,966.1,1
2000000.0,18504.082,969.5,1
2200000.0,20379.738,967.5,1
2400000.0,22226.72,974.8,1
2600000.0,24093.635,966.5,1
2800000.0,25962.064,978.0,1
3000000.0,27839.438000000002,979.1,1
3200000.0,29713.635,963.6,1
3400000.0,31602.021,975.6,1
3600000.0,33473.23,972.5,1
3800000.0,35331.113,981.4,1
4000000.0,37194.39,877.7,1
4200000.0,39061.18,878.9,1
4400000.0,40929.188,975.1,1
4600000.0,42789.145,981.6,1
4800000.0,44653.188,977.7,1
5000000.0,46517.965,978.2,1
0.0,2.2612717,156.6,2
10000.0,6.0125446,300.0,2
200000.0,1768.1526,373.4,2
400000.0,3614.6296,867.4,2
600000.0,5452.158,777.7,2
800000.0,7288.819,964.4,2
1000000.0,9162.705,964.9,2
1200000.0,11036.392,973.8,2
1400000.0,12899.124,972.1,2
1600000.0,14769.602000000003,976.0,2
1800000.0,16635.092,965.5,2
2000000.0,18504.082,964.1,2
2200000.0,20379.738,966.2,2
2400000.0,22226.72,978.1,2
2600000.0,24093.635,973.1,2
2800000.0,25962.064,976.2,2
3000000.0,27839.438000000002,975.1,2
3200000.0,29713.635,981.2,2
3400000.0,31602.021,968.2,2
3600000.0,33473.23,966.0,2
3800000.0,35331.113,973.8,2
4000000.0,37194.39,878.9,2
4200000.0,39061.18,985.2,2
4400000.0,40929.188,966.9,2
4600000.0,42789.145,978.6,2
4800000.0,44653.188,979.4,2
5000000.0,46517.965,969.9,2
0.0,2.2612717,76.3,3
10000.0,6.0125446,100.0,3
200000.0,1768.1526,373.9,3
400000.0,3614.6296,678.6,3
600000.0,5452.158,873.3,3
800000.0,7288.819,850.4,3
1000000.0,9162.705,967.8,3
1200000.0,11036.392,974.9,3
1400000.0,12899.124,874.4,3
1600000.0,14769.602000000003,964.6,3
1800000.0,16635.092,967.8,3
2000000.0,18504.082,975.4,3
2200000.0,20379.738,967.3,3
2400000.0,22226.72,975.3,3
2600000.0,24093.635,975.1,3
2800000.0,25962.064,967.1,3
3000000.0,27839.438000000002,969.8,3
3200000.0,29713.635,967.0,3
3400000.0,31602.021,964.2,3
3600000.0,33473.23,969.6,3
3800000.0,35331.113,881.3,3
4000000.0,37194.39,973.6,3
4200000.0,39061.18,978.2,3
4400000.0,40929.188,979.6,3
4600000.0,42789.145,982.2,3
4800000.0,44653.188,971.9,3
5000000.0,46517.965,974.3,3
0.0,2.2612717,86.5,4
10000.0,6.0125446,0.0,4
200000.0,1768.1526,0.0,4
400000.0,3614.6296,664.6,4
600000.0,5452.158,853.7,4
800000.0,7288.819,869.0,4
1000000.0,9162.705,944.0,4
1200000.0,11036.392,963.9,4
1400000.0,12899.124,966.3,4
1600000.0,14769.602000000003,875.5,4
1800000.0,16635.092,872.5,4
2000000.0,18504.082,973.2,4
2200000.0,20379.738,976.4,4
2400000.0,22226.72,973.8,4
2600000.0,24093.635,971.0,4
2800000.0,25962.064,974.7,4
3000000.0,27839.438000000002,963.8,4
3200000.0,29713.635,978.8,4
3400000.0,31602.021,977.0,4
3600000.0,33473.23,985.9,4
3800000.0,35331.113,987.3,4
4000000.0,37194.39,980.7,4
4200000.0,39061.18,873.4,4
4400000.0,40929.188,976.4,4
4600000.0,42789.145,965.5,4
4800000.0,44653.188,979.5,4
5000000.0,46517.965,971.8,4
