step,time,reward,seed
0.0,2.5607083,11.5,0
10000.0,8.116259,0.0,0
200000.0,1228.5702,909.0,0
400000.0,2509.6433,980.2,0
600000.0,3790.6143,886.2,0
800000.0,5075.364,978.4,0
1000000.0,6371.547,978.2,0
1200000.0,7675.510700000001,982.6,0
1400000.0,8975.792,983.0,0
1600000.0,10269.44,983.9,0
1800000.0,11572.682,982.7,0
2000000.0,12872.804,977.9,0
2200000.0,14179.280000000002,981.6,0
2400000.0,15472.007000000001,882.8,0
2600000.0,16769.107,981.4,0
2800000.0,18074.27,984.5,0
3000000.0,19385.678,980.2,0
3200000.0,20684.414,979.1,0
3400000.0,21972.947,982.9,0
3600000.0,23264.48,974.8,0
3800000.0,24559.057,980.7,0
4000000.0,25852.002,911.5,0
4200000.0,27148.438000000002,983.4,0
4400000.0,28448.979,977.9,0
4600000.0,29745.926,981.8,0
4800000.0,31038.031,983.6,0
5000000.0,32326.877,980.2,0
0.0,2.5607083,17.0,1
10000.0,8.116259,11.9,1
200000.0,1228.5702,967.5,1
400000.0,2509.6433,975.8,1
600000.0,3790.6143,979.8,1
800000.0,5075.364,974.4,1
1000000.0,6371.547,982.3,1
1200000.0,7675.510700000001,974.6,1
1400000.0,8975.792,984.5,1
1600000.0,10269.44,882.4,1
1800000.0,11572.682,945.7,1
2000000.0,12872.804,974.4,1
2200000.0,14179.280000000002,983.4,1
2400000.0,15472.007000000001,981.0,1
2600000.0,16769.107,983.1,1
2800000.0,18074.27,982.4,1
3000000.0,19385.678,978.9,1
3200000.0,20684.414,885.9,1
3400000.0,21972.947,979.0,1
3600000.0,23264.48,966.1,1
3800000.0,24559.057,980.2,1
4000000.0,25852.002,980.7,1
4200000.0,27148.438000000002,983.5,1
4400000.0,28448.979,983.3,1
4600000.0,29745.926,979.8,1
4800000.0,31038.031,982.5,1
5000000.0,32326.877,984.4,1
0.0,2.5607083,11.1,2
10000.0,8.116259,21.0,2
200000.0,1228.5702,871.6,2
400000.0,2509.6433,974.1,2
600000.0,3790.6143,975.8,2
800000.0,5075.364,976.8,2
1000000.0,6371.547,971.1,2
1200000.0,7675.510700000001,973.1,2
1400000.0,8975.792,970.4,2
1600000.0,10269.44,974.6,2
1800000.0,11572.682,974.8,2
2000000.0,12872.804,977.2,2
2200000.0,14179.280000000002,974.2,2
2400000.0,15472.007000000001,977.5,2
2600000.0,16769.107,973.4,2
2800000.0,18074.27,972.9,2
3000000.0,19385.678,977.0,2
3200000.0,20684.414,970.9,2
3400000.0,21972.947,968.2,2
3600000.0,23264.48,970.5,2
3800000.0,24559.057,979.1,2
4000000.0,25852.002,982.1,2
4200000.0,27148.438000000002,978.8,2
4400000.0,28448.979,970.0,2
4600000.0,29745.926,972.9,2
4800000.0,31038.031,977.1,2
5000000.0,32326.877,957.7,2
0.0,2.5607083,38.4,3
10000.0,8.116259,56.1,3
200000.0,1228.5702,977.7,3
400000.0,2509.6433,976.7,3
600000.0,3790.6143,977.3,3
800000.0,5075.364,977.4,3
1000000.0,6371.547,982.3,3
1200000.0,7675.510700000001,983.5,3
1400000.0,8975.792,978.3,3
1600000.0,10269.44,979.4,3
1800000.0,11572.682,982.6,3
2000000.0,12872.804,978.5,3
2200000.0,14179.280000000002,979.7,3
2400000.0,15472.007000000001,982.0,3
2600000.0,16769.107,979.6,3
2800000.0,18074.27,977.1,3
3000000.0,19385.678,976.8,3
3200000.0,20684.414,983.1,3
3400000.0,21972.947,980.3,3
3600000.0,23264.48,980.5,3
3800000.0,24559.057,981.2,3
4000000.0,25852.002,985.2,3
4200000.0,27148.438000000002,982.1,3
4400000.0,28448.979,984.4,3
4600000.0,29745.926,976.1,3
4800000.0,31038.031,984.2,3
5000000.0,32326.877,978.3,3
0.0,2.5607083,5.8,4
10000.0,8.116259,0.0,4
200000.0,1228.5702,972.4,4
400000.0,2509.6433,979.5,4
600000.0,3790.6143,982.6,4
800000.0,5075.364,973.9,4
1000000.0,6371.547,977.4,4
1200000.0,7675.510700000001,982.7,4
1400000.0,8975.792,983.3,4
1600000.0,10269.44,979.0,4
1800000.0,11572.682,984.3,4
2000000.0,12872.804,890.2,4
2200000.0,14179.280000000002,982.7,4
2400000.0,15472.007000000001,988.3,4
2600000.0,16769.107,982.3,4
2800000.0,18074.27,978.3,4
3000000.0,19385.678,886.1,4
3200000.0,20684.414,984.9,4
3400000.0,21972.947,980.8,4
3600000.0,23264.48,883.6,4
3800000.0,24559.057,976.5,4
4000000.0,25852.002,985.6,4
4200000.0,27148.438000000002,984.8,4
4400000.0,28448.979,979.8,4
4600000.0,29745.926,985.7,4
4800000.0,31038.031,977.0,4
5000000.0,32326.877,981.0,4
