step,time,reward,seed
0,9.643623113632202,7.683113098144531,7
50000,1299.8524882793427,394.962890625,7
100000,2693.365005016327,600.3192138671875,7
150000,4087.145975589752,721.1114501953125,7
200000,5477.338452339172,808.02490234375,7
250000,6866.653370141983,832.2062377929688,7
300000,8179.710812091827,836.4969482421875,7
350000,9421.518389225006,884.7171020507812,7
400000,10661.836549758911,901.3049926757812,7
450000,11901.930097579956,907.4847412109375,7
500000,13141.355112314224,888.7638549804688,7
0,6.281251430511475,7.051407814025879,6
50000,998.5760757923126,487.9765625,6
100000,1989.3148193359375,654.6529541015625,6
150000,2979.095036506653,782.8236083984375,6
200000,3967.9908781051636,783.1397705078125,6
250000,4956.609065771103,838.5325927734375,6
300000,5945.448746681213,870.41845703125,6
350000,6934.552943706512,883.7453002929688,6
400000,7923.046586275101,885.8419799804688,6
450000,8911.93876361847,895.7529296875,6
500000,9853.044958114624,904.2100830078125,6
0,6.085421085357666,3.1654000282287598,5
50000,988.8890302181244,170.5223846435547,5
100000,1956.4905986785889,558.9216918945312,5
150000,2920.2158567905426,682.0657958984375,5
200000,3883.382971048355,713.3385009765625,5
250000,4847.100902557373,765.0177001953125,5
300000,5807.40310049057,803.37939453125,5
350000,6768.604464530945,851.5428466796875,5
400000,7729.658525466919,858.8759765625,5
450000,8691.31264090538,835.0960693359375,5
500000,9642.752848863602,906.8903198242188,5
0,6.153749942779541,4.222168922424316,4
50000,990.0315396785736,258.5476989746094,4
100000,1973.5946910381317,523.9683227539062,4
150000,2956.6421060562134,661.1100463867188,4
200000,3938.508677005768,675.3553466796875,4
250000,4919.6620190143585,784.3326416015625,4
300000,5900.524871826172,816.7459106445312,4
350000,6882.596097707748,854.7464599609375,4
400000,7864.187964439392,829.3790893554688,4
450000,8846.284087657928,899.9445190429688,4
500000,9791.277862071991,900.0945434570312,4
0,6.055479526519775,3.194910764694214,3
50000,993.5162613391876,152.57334899902344,3
100000,1978.6547656059265,352.49517822265625,3
150000,2963.723573207855,711.46923828125,3
200000,3948.201233625412,736.8262939453125,3
250000,4932.41739320755,701.0576782226562,3
300000,5921.02787065506,777.8225708007812,3
350000,6909.786859989166,814.4494018554688,3
400000,7890.1988043785095,843.7658081054688,3
450000,8870.701787471771,881.5377197265625,3
500000,9811.15093255043,894.5706176757812,3
0,6.106542110443115,8.53032112121582,2
50000,954.6580040454865,230.2736053466797,2
100000,1916.493566274643,596.1947021484375,2
150000,2880.258021593094,680.1768188476562,2
200000,3841.99626493454,717.1129760742188,2
250000,4805.131091594696,808.2080078125,2
300000,5767.6326196193695,809.0009765625,2
350000,6726.930290699005,853.1573486328125,2
400000,7687.053708553314,835.1806640625,2
450000,8649.975713253021,880.052734375,2
500000,9613.469170331955,910.1668701171875,2
0,6.651001214981079,2.421901226043701,1
50000,986.48761677742,253.7875213623047,1
100000,1965.301560640335,252.5939178466797,1
150000,2943.02476978302,541.3585205078125,1
200000,3919.3944306373596,765.752685546875,1
250000,4897.535781860352,791.9864501953125,1
300000,5874.2348420619965,725.2529296875,1
350000,6851.353207111359,838.2058715820312,1
400000,7828.886958599091,851.2877197265625,1
450000,8806.336863040924,883.4318237304688,1
500000,9768.759806632996,901.8765869140625,1
0,6.6128764152526855,2.3100850582122803,0
50000,965.1895413398743,389.9393005371094,0
100000,1919.7100911140442,605.7945556640625,0
150000,2875.540281057358,685.5704345703125,0
200000,3830.7670233249664,740.2176513671875,0
250000,4786.547552347183,791.1306762695312,0
300000,5741.870992898941,811.76708984375,0
350000,6696.8849329948425,840.7947387695312,0
400000,7651.025377750397,843.44140625,0
450000,8605.450260400772,890.7122802734375,0
500000,9551.47986125946,900.2400512695312,0
