step,time,reward,seed
0,9.817728519439697,200.0,3
50000,886.9761497974396,200.5,3
100000,1762.5903763771057,488.3999938964844,3
150000,2643.808390378952,392.6000061035156,3
200000,3520.7374901771545,302.70001220703125,3
250000,4397.911563634872,751.5,3
300000,5272.232342004776,782.4000244140625,3
350000,6147.537848711014,962.4000244140625,3
400000,7022.563475370407,862.2999877929688,3
450000,7894.303629159927,985.5,3
500000,8766.915318489075,873.0999755859375,3
0,10.142967700958252,100.0,4
50000,901.5955662727356,193.0,4
100000,1790.1357502937317,101.19999694824219,4
150000,2676.5779349803925,491.5,4
200000,3561.5911343097687,783.7000122070312,4
250000,4448.047454118729,568.2999877929688,4
300000,5332.936022043228,676.2000122070312,4
350000,6218.348227262497,776.9000244140625,4
400000,7101.225035667419,769.7999877929688,4
450000,7985.905209541321,871.9000244140625,4
500000,8872.445640325546,959.0,4
0,9.745887756347656,297.20001220703125,0
50000,1139.1441776752472,98.0,0
100000,2270.7865982055664,201.1999969482422,0
150000,3405.5609629154205,200.0,0
200000,4539.021955490112,485.20001220703125,0
250000,5671.842119216919,580.7999877929688,0
300000,6803.363930940628,687.5,0
350000,7934.40820646286,689.0999755859375,0
400000,9065.770771741867,768.2999877929688,0
450000,10197.816907644272,880.9000244140625,0
500000,11330.390334367752,971.0,0
0,10.041995763778687,300.0,7
50000,1140.2582132816315,100.0,7
100000,2272.6215658187866,98.5999984741211,7
150000,3407.0176260471344,291.6000061035156,7
200000,4540.820567846298,492.29998779296875,7
250000,5674.238208770752,297.20001220703125,7
300000,6805.897087335587,297.70001220703125,7
350000,7937.284319639206,493.20001220703125,7
400000,9068.27983546257,967.4000244140625,7
450000,10199.575049638748,943.2999877929688,7
500000,11332.02481341362,878.7999877929688,7
0,9.933486223220825,100.0,1
50000,989.3659915924072,4.099999904632568,1
100000,1969.3450572490692,300.0,1
150000,2950.174427986145,90.30000305175781,1
200000,3931.145506620407,99.5,1
250000,4912.944158315659,595.0,1
300000,5895.128096342087,479.0,1
350000,6875.621471643448,494.20001220703125,1
400000,7856.530478477478,580.2000122070312,1
450000,8837.032975673676,590.5,1
500000,9797.217983722687,490.1000061035156,1
0,9.75143551826477,327.20001220703125,2
50000,970.187824010849,103.19999694824219,2
100000,1926.000220298767,198.10000610351562,2
150000,2882.7413713932037,177.0,2
200000,3840.4771523475647,198.3000030517578,2
250000,4799.303208351135,394.79998779296875,2
300000,5757.741123199463,685.7999877929688,2
350000,6717.497775316238,871.7000122070312,2
400000,7676.580313920975,982.4000244140625,2
450000,8634.39527630806,978.5,2
500000,9587.777661085129,780.7000122070312,2
0,10.03313136100769,102.5999984741211,6
50000,882.4845898151398,100.0,6
100000,1752.7062616348267,199.10000610351562,6
150000,2623.598294734955,403.3999938964844,6
200000,3495.1273288726807,472.29998779296875,6
250000,4364.591806650162,395.29998779296875,6
300000,5235.077812671661,575.7999877929688,6
350000,6106.066004753113,977.5,6
400000,6977.572522640228,593.7000122070312,6
450000,7849.527582645416,665.0,6
500000,8719.954551696777,768.7999877929688,6
0,9.976781606674194,400.0,5
50000,877.9092743396759,387.6000061035156,5
100000,1746.7932751178741,198.3000030517578,5
150000,2613.247944355011,97.30000305175781,5
200000,3479.1931052207947,392.0,5
250000,4346.231442928314,469.6000061035156,5
300000,5213.00746679306,671.5,5
350000,6081.026673793793,880.2999877929688,5
400000,6949.1020703315735,782.4000244140625,5
450000,7820.675430774689,768.5,5
500000,8685.250112056732,976.4000244140625,5
