step,time,reward,seed
0,9.512484312057495,99.0,7
50000,1387.2714312076569,582.5,7
100000,2802.2210607528687,681.9000244140625,7
150000,4218.459650039673,978.0999755859375,7
200000,5632.515334606171,977.9000244140625,7
250000,7048.124938726425,973.2000122070312,7
300000,8332.670921325684,982.2000122070312,7
350000,9597.254052877426,976.0,7
400000,10857.028362751007,971.0999755859375,7
450000,12118.068609952927,974.7000122070312,7
500000,13372.247695207596,973.0,7
0,8.543047189712524,7.0,6
50000,1361.4948709011078,196.89999389648438,6
100000,2753.3604323863983,978.4000244140625,6
150000,4146.239350795746,976.4000244140625,6
200000,5535.259912014008,972.4000244140625,6
250000,6929.273345947266,980.2000122070312,6
300000,8198.401280164719,979.0,6
350000,9422.890618562698,977.4000244140625,6
400000,10655.854588747025,979.7000122070312,6
450000,11892.8916618824,975.2000122070312,6
500000,13128.308794498444,983.5,6
0,10.2438325881958,90.5,4
50000,1374.02303481102,677.5999755859375,4
100000,2776.399620771408,875.2000122070312,4
150000,4180.956747055054,875.5,4
200000,5582.864401102066,981.0,4
250000,6984.635754108429,974.9000244140625,4
300000,8267.946385383606,976.5,4
350000,9519.168137073517,936.5999755859375,4
400000,10770.709192752838,981.5,4
450000,12014.254627943039,907.2000122070312,4
500000,13247.012543678284,912.2000122070312,4
0,9.887232542037964,58.400001525878906,5
50000,1411.1624126434326,976.2999877929688,5
100000,2844.636531352997,968.9000244140625,5
150000,4276.263691663742,972.7000122070312,5
200000,5705.012177705765,977.4000244140625,5
250000,7135.052227735519,979.0999755859375,5
300000,8428.985706567764,982.5,5
350000,9708.601921796799,982.5999755859375,5
400000,10988.204444169998,977.0999755859375,5
450000,12265.427370071411,976.0999755859375,5
500000,13526.085828781128,982.2000122070312,5
0,9.406289339065552,134.60000610351562,3
50000,1354.6650819778442,675.2000122070312,3
100000,2743.9861164093018,977.0,3
150000,4134.247297048569,781.7000122070312,3
200000,5523.235401391983,982.7999877929688,3
250000,6910.502038478851,970.7999877929688,3
300000,8192.272756099701,973.2999877929688,3
350000,9425.634528398514,984.2999877929688,3
400000,10666.40122127533,981.7999877929688,3
450000,11905.115040540695,884.4000244140625,3
500000,13137.953225135803,973.9000244140625,3
0,12.803561210632324,117.9000015258789,2
50000,1351.7434811592102,487.0,2
100000,2768.875670194626,878.7999877929688,2
150000,4186.043361663818,805.0,2
200000,5600.959602117538,974.0,2
250000,7015.966235876083,875.4000244140625,2
300000,8328.33730006218,977.5999755859375,2
350000,9587.327843666077,878.2000122070312,2
400000,10842.097134113312,978.0,2
450000,12100.536999225616,973.5999755859375,2
500000,13361.434566259384,972.5,2
0,9.125243425369263,64.80000305175781,1
50000,1302.1782665252686,196.60000610351562,1
100000,2682.0623111724854,774.5,1
150000,4066.8300161361694,967.5999755859375,1
200000,5446.781782627106,970.0,1
250000,6826.057690620422,875.2999877929688,1
300000,8135.43193769455,969.4000244140625,1
350000,9370.331531524658,972.0,1
400000,10600.62971496582,976.9000244140625,1
450000,11832.03114414215,962.9000244140625,1
500000,13059.638518095016,975.7000122070312,1
0,9.594574689865112,38.099998474121094,0
50000,1324.3015410900116,544.7000122070312,0
100000,2746.272181749344,976.0999755859375,0
150000,4165.468392372131,969.5,0
200000,5581.943309307098,875.4000244140625,0
250000,6996.414028644562,974.0999755859375,0
300000,8322.292764425278,972.0,0
350000,9574.107514858246,776.2999877929688,0
400000,10824.6828622818,974.5999755859375,0
450000,12075.426864624023,779.9000244140625,0
500000,13324.976776838303,974.2999877929688,0
