step,time,reward,seed
0,10.276506900787354,1.5,6
50000,1390.9951221942902,286.79998779296875,6
100000,2782.864469051361,876.7000122070312,6
150000,4176.57946896553,769.7000122070312,6
200000,5569.743666648865,962.4000244140625,6
250000,6961.463908672333,872.2000122070312,6
300000,8262.097076416016,964.9000244140625,6
350000,9543.009202718735,965.5,6
400000,10834.231651544571,972.7000122070312,6
450000,12116.128154039383,970.4000244140625,6
500000,13384.104389667511,979.5999755859375,6
0,10.289109706878662,21.100000381469727,7
50000,1391.2963061332703,40.20000076293945,7
100000,2801.33425116539,189.1999969482422,7
150000,4206.124886751175,199.3000030517578,7
200000,5607.965222835541,430.3999938964844,7
250000,7010.627757072449,477.5,7
300000,8271.044029951096,820.2000122070312,7
350000,9507.685105323792,967.5999755859375,7
400000,10743.18786406517,968.0999755859375,7
450000,11980.085139513016,875.0999755859375,7
500000,13217.50943017006,965.5,7
0,9.211277723312378,1.5,5
50000,1387.1881947517395,195.1999969482422,5
100000,2793.909911632538,864.2000122070312,5
150000,4199.446191310883,955.0999755859375,5
200000,5603.397198915482,957.9000244140625,5
250000,7010.173107385635,964.2999877929688,5
300000,8271.264925956726,960.7000122070312,5
350000,9500.701870203018,958.7000122070312,5
400000,10729.951792955399,952.9000244140625,5
450000,11960.70954990387,950.7999877929688,5
500000,13190.688221693039,960.2999877929688,5
0,8.922971725463867,0.8999999761581421,3
50000,1397.2429630756378,196.8000030517578,3
100000,2810.553211212158,3.299999952316284,3
150000,4222.783540725708,482.1000061035156,3
200000,5634.014199018478,389.70001220703125,3
250000,7035.387977600098,769.7000122070312,3
300000,8334.950863361359,775.4000244140625,3
350000,9617.594568490982,969.9000244140625,3
400000,10900.86127281189,771.2999877929688,3
450000,12187.125699281693,966.9000244140625,3
500000,13450.745400190353,968.0999755859375,3
0,9.00744366645813,16.899999618530273,4
50000,1362.3862357139587,242.8000030517578,4
100000,2736.5978198051453,296.5,4
150000,4111.584956169128,762.2999877929688,4
200000,5486.411216020584,773.5999755859375,4
250000,6857.805349588394,868.0,4
300000,8114.825124263763,966.2000122070312,4
350000,9332.778266191483,976.2999877929688,4
400000,10547.739380598068,970.7000122070312,4
450000,11760.543580532074,967.5999755859375,4
500000,12964.811130046844,972.5999755859375,4
0,8.758105278015137,15.899999618530273,1
50000,1373.4774446487427,482.0,1
100000,2782.0988438129425,778.5999755859375,1
150000,4188.712067365646,955.4000244140625,1
200000,5593.465242147446,967.0,1
250000,6999.561401128769,965.0999755859375,1
300000,8308.43898153305,975.0999755859375,1
350000,9566.748170137405,968.0999755859375,1
400000,10826.786792755127,971.5,1
450000,12083.550401449203,972.5999755859375,1
500000,13339.205511808395,979.2999877929688,1
0,8.555579662322998,16.399999618530273,2
50000,1372.2989518642426,94.19999694824219,2
100000,2774.3621501922607,402.20001220703125,2
150000,4176.396739959717,374.0,2
200000,5577.066302061081,660.7999877929688,2
250000,6981.650562047958,664.4000244140625,2
300000,8255.313580989838,976.9000244140625,2
350000,9491.145759344101,969.7999877929688,2
400000,10728.584554195404,969.5,2
450000,11970.121839761734,967.5999755859375,2
500000,13213.021268844604,968.0999755859375,2
0,10.019489049911499,6.0,0
50000,1374.4144446849823,95.19999694824219,0
100000,2783.8809807300568,386.70001220703125,0
150000,4192.649503469467,555.0999755859375,0
200000,5601.601049184799,874.2000122070312,0
250000,7012.241550445557,872.0,0
300000,8288.921636343002,872.0,0
350000,9530.163776874542,784.5999755859375,0
400000,10771.458415746689,974.7000122070312,0
450000,12011.966010570526,967.9000244140625,0
500000,13253.075140476227,966.4000244140625,0
