step,time,reward,seed
0,135.7251467704773,82.55364227294922,0
50000,1652.4151363372803,822.6433715820312,0
100000,3237.0241289138794,849.93212890625,0
150000,4820.661840677261,861.1431884765625,0
200000,6403.9447889328,859.1865234375,0
250000,7986.238104104996,863.92041015625,0
0,135.7251467704773,66.34761047363281,7
50000,1652.4151363372803,763.3694458007812,7
100000,3237.0241289138794,826.9429931640625,7
150000,4820.661840677261,872.1934814453125,7
200000,6403.9447889328,876.3576049804688,7
250000,7986.238104104996,880.62548828125,7
0,135.7251467704773,19.395715713500977,6
50000,1652.4151363372803,834.83154296875,6
100000,3237.0241289138794,847.2318115234375,6
150000,4820.661840677261,877.9445190429688,6
200000,6403.9447889328,877.4347534179688,6
250000,7986.238104104996,880.1463012695312,6
0,135.7251467704773,62.02650833129883,5
50000,1652.4151363372803,843.2093505859375,5
100000,3237.0241289138794,777.911865234375,5
150000,4820.661840677261,856.7717895507812,5
200000,6403.9447889328,880.1272583007812,5
250000,7986.238104104996,873.1962890625,5
0,135.7251467704773,5.051943778991699,4
50000,1652.4151363372803,852.3753051757812,4
100000,3237.0241289138794,842.69873046875,4
150000,4820.661840677261,873.0060424804688,4
200000,6403.9447889328,877.7614135742188,4
250000,7986.238104104996,881.4470825195312,4
0,135.7251467704773,3.6120924949645996,3
50000,1652.4151363372803,849.9293212890625,3
100000,3237.0241289138794,864.3212890625,3
150000,4820.661840677261,861.2175903320312,3
200000,6403.9447889328,860.9489135742188,3
250000,7986.238104104996,865.5350341796875,3
0,135.7251467704773,1.0126696825027466,1
50000,1652.4151363372803,708.2454833984375,1
100000,3237.0241289138794,844.8292236328125,1
150000,4820.661840677261,862.3585205078125,1
200000,6403.9447889328,860.7908935546875,1
250000,7986.238104104996,864.5891723632812,1
0,135.7251467704773,1.6183102130889893,2
50000,1652.4151363372803,817.8349609375,2
100000,3237.0241289138794,878.2228393554688,2
150000,4820.661840677261,864.0162353515625,2
200000,6403.9447889328,879.9601440429688,2
250000,7986.238104104996,879.1177978515625,2
