step,time,reward,seed
0,134.28053855895996,0.0,0
50000,1620.56960439682,0.0,0
100000,3169.620523929596,0.0,0
150000,4721.60419344902,0.0,0
200000,6273.144893884659,27.899999618530273,0
250000,7824.190635204315,177.8000030517578,0
300000,9363.519524335861,838.5999755859375,0
350000,10900.092846393585,837.0,0
400000,12447.780774354935,843.7000122070312,0
450000,14007.03292965889,770.7000122070312,0
500000,15559.501796483994,849.0,0
0,134.28053855895996,0.0,7
50000,1620.56960439682,160.6999969482422,7
100000,3169.620523929596,795.5999755859375,7
150000,4721.60419344902,788.2000122070312,7
200000,6273.144893884659,809.2000122070312,7
250000,7824.190635204315,811.2999877929688,7
300000,9363.519524335861,816.2000122070312,7
350000,10900.092846393585,816.9000244140625,7
400000,12447.780774354935,815.7999877929688,7
450000,14007.03292965889,818.0,7
500000,15559.501796483994,811.0,7
0,134.28053855895996,0.0,6
50000,1620.56960439682,0.0,6
100000,3169.620523929596,0.0,6
150000,4721.60419344902,0.0,6
200000,6273.144893884659,0.0,6
250000,7824.190635204315,5.0,6
300000,9363.519524335861,356.0,6
350000,10900.092846393585,79.0,6
400000,12447.780774354935,821.2999877929688,6
450000,14007.03292965889,845.7000122070312,6
500000,15559.501796483994,845.4000244140625,6
0,134.28053855895996,0.0,5
50000,1620.56960439682,7.599999904632568,5
100000,3169.620523929596,742.0999755859375,5
150000,4721.60419344902,841.0999755859375,5
200000,6273.144893884659,844.9000244140625,5
250000,7824.190635204315,847.7999877929688,5
300000,9363.519524335861,832.9000244140625,5
350000,10900.092846393585,848.2000122070312,5
400000,12447.780774354935,848.0999755859375,5
450000,14007.03292965889,849.2000122070312,5
500000,15559.501796483994,848.5,5
0,134.28053855895996,0.0,4
50000,1620.56960439682,0.0,4
100000,3169.620523929596,0.0,4
150000,4721.60419344902,0.0,4
200000,6273.144893884659,805.5999755859375,4
250000,7824.190635204315,824.7999877929688,4
300000,9363.519524335861,830.4000244140625,4
350000,10900.092846393585,845.2000122070312,4
400000,12447.780774354935,848.5999755859375,4
450000,14007.03292965889,848.2000122070312,4
500000,15559.501796483994,847.2999877929688,4
0,134.28053855895996,0.0,3
50000,1620.56960439682,0.0,3
100000,3169.620523929596,6.400000095367432,3
150000,4721.60419344902,596.2000122070312,3
200000,6273.144893884659,809.7000122070312,3
250000,7824.190635204315,844.2000122070312,3
300000,9363.519524335861,848.4000244140625,3
350000,10900.092846393585,848.2000122070312,3
400000,12447.780774354935,847.4000244140625,3
450000,14007.03292965889,844.9000244140625,3
500000,15559.501796483994,842.7999877929688,3
0,134.28053855895996,0.0,2
50000,1620.56960439682,0.0,2
100000,3169.620523929596,0.0,2
150000,4721.60419344902,0.0,2
200000,6273.144893884659,0.0,2
250000,7824.190635204315,4.300000190734863,2
300000,9363.519524335861,0.0,2
350000,10900.092846393585,763.2000122070312,2
400000,12447.780774354935,818.7000122070312,2
450000,14007.03292965889,820.5999755859375,2
500000,15559.501796483994,831.7000122070312,2
0,134.28053855895996,0.0,1
50000,1620.56960439682,0.0,1
100000,3169.620523929596,0.0,1
150000,4721.60419344902,0.0,1
200000,6273.144893884659,0.0,1
250000,7824.190635204315,0.0,1
300000,9363.519524335861,0.0,1
350000,10900.092846393585,0.0,1
400000,12447.780774354935,778.4000244140625,1
450000,14007.03292965889,845.5,1
500000,15559.501796483994,848.5,1
