step,time,reward,seed
0,146.30060267448425,3.008164644241333,0
50000,2563.9519600868225,269.76983642578125,0
100000,5044.3752954006195,575.313232421875,0
150000,7499.39134478569,683.8074951171875,0
200000,9929.816067934036,754.0841064453125,0
250000,12351.067945718765,795.5621337890625,0
300000,14792.235048532486,810.8101806640625,0
350000,17230.392884731293,863.55615234375,0
400000,19663.002802848816,776.4888916015625,0
450000,22074.913439512253,903.7097778320312,0
500000,24476.858560323715,908.4267578125,0
0,146.30060267448425,9.135978698730469,7
50000,2563.9519600868225,427.888916015625,7
100000,5044.3752954006195,508.7193908691406,7
150000,7499.39134478569,607.2332153320312,7
200000,9929.816067934036,679.7455444335938,7
250000,12351.067945718765,717.931884765625,7
300000,14792.235048532486,736.56396484375,7
350000,17230.392884731293,771.38330078125,7
400000,19663.002802848816,724.736083984375,7
450000,22074.913439512253,783.4757080078125,7
500000,24476.858560323715,835.4945068359375,7
0,146.30060267448425,3.439296245574951,5
50000,2563.9519600868225,279.5071716308594,5
100000,5044.3752954006195,616.45458984375,5
150000,7499.39134478569,672.9517822265625,5
200000,9929.816067934036,630.3780517578125,5
250000,12351.067945718765,783.1642456054688,5
300000,14792.235048532486,822.6707763671875,5
350000,17230.392884731293,803.9705200195312,5
400000,19663.002802848816,856.4089965820312,5
450000,22074.913439512253,836.6707763671875,5
500000,24476.858560323715,879.0225830078125,5
0,146.30060267448425,5.43025016784668,6
50000,2563.9519600868225,352.8096008300781,6
100000,5044.3752954006195,522.2267456054688,6
150000,7499.39134478569,445.0606994628906,6
200000,9929.816067934036,699.7927856445312,6
250000,12351.067945718765,695.5336303710938,6
300000,14792.235048532486,775.5277709960938,6
350000,17230.392884731293,817.7982177734375,6
400000,19663.002802848816,854.0349731445312,6
450000,22074.913439512253,858.9559326171875,6
500000,24476.858560323715,779.1494750976562,6
0,146.30060267448425,4.931380271911621,4
50000,2563.9519600868225,448.9120178222656,4
100000,5044.3752954006195,457.0269470214844,4
150000,7499.39134478569,625.8309936523438,4
200000,9929.816067934036,671.53369140625,4
250000,12351.067945718765,735.0404052734375,4
300000,14792.235048532486,735.9684448242188,4
350000,17230.392884731293,852.8865356445312,4
400000,19663.002802848816,880.5978393554688,4
450000,22074.913439512253,832.2341918945312,4
500000,24476.858560323715,884.1116333007812,4
0,146.30060267448425,3.76166033744812,3
50000,2563.9519600868225,371.45794677734375,3
100000,5044.3752954006195,580.7027587890625,3
150000,7499.39134478569,715.8651123046875,3
200000,9929.816067934036,731.0042114257812,3
250000,12351.067945718765,753.15478515625,3
300000,14792.235048532486,743.21044921875,3
350000,17230.392884731293,858.5142822265625,3
400000,19663.002802848816,860.1354370117188,3
450000,22074.913439512253,835.9225463867188,3
500000,24476.858560323715,865.1546630859375,3
0,146.30060267448425,11.008783340454102,2
50000,2563.9519600868225,416.1429748535156,2
100000,5044.3752954006195,540.9229736328125,2
150000,7499.39134478569,617.7423706054688,2
200000,9929.816067934036,706.9173583984375,2
250000,12351.067945718765,745.9425659179688,2
300000,14792.235048532486,629.4190673828125,2
350000,17230.392884731293,728.2337646484375,2
400000,19663.002802848816,749.1561889648438,2
450000,22074.913439512253,815.8121337890625,2
500000,24476.858560323715,861.3887939453125,2
0,146.30060267448425,2.381704330444336,1
50000,2563.9519600868225,362.1831970214844,1
100000,5044.3752954006195,538.8705444335938,1
150000,7499.39134478569,473.15142822265625,1
200000,9929.816067934036,755.1204833984375,1
250000,12351.067945718765,832.1119995117188,1
300000,14792.235048532486,838.3580932617188,1
350000,17230.392884731293,558.8436889648438,1
400000,19663.002802848816,710.6641845703125,1
450000,22074.913439512253,869.7884521484375,1
500000,24476.858560323715,896.3687744140625,1
