step,time,reward,seed
0,132.12838006019592,0.0,0
50000,1592.8433763980865,955.2000122070312,0
100000,3122.288535118103,975.5,0
150000,4646.696746349335,986.5,0
200000,6174.213815689087,984.2000122070312,0
250000,7705.183815002441,987.0,0
300000,9229.984580516815,986.0,0
350000,10753.588866233826,986.2000122070312,0
400000,12284.880833864212,987.5999755859375,0
450000,13832.07893204689,991.7999877929688,0
500000,15375.714643239975,986.9000244140625,0
0,132.12838006019592,0.0,7
50000,1592.8433763980865,805.9000244140625,7
100000,3122.288535118103,981.5,7
150000,4646.696746349335,980.9000244140625,7
200000,6174.213815689087,976.5999755859375,7
250000,7705.183815002441,971.7999877929688,7
300000,9229.984580516815,980.4000244140625,7
350000,10753.588866233826,981.4000244140625,7
400000,12284.880833864212,983.7000122070312,7
450000,13832.07893204689,979.2000122070312,7
500000,15375.714643239975,974.5,7
0,132.12838006019592,0.0,6
50000,1592.8433763980865,953.4000244140625,6
100000,3122.288535118103,976.0,6
150000,4646.696746349335,978.7000122070312,6
200000,6174.213815689087,976.2999877929688,6
250000,7705.183815002441,980.7999877929688,6
300000,9229.984580516815,984.5999755859375,6
350000,10753.588866233826,980.0999755859375,6
400000,12284.880833864212,987.9000244140625,6
450000,13832.07893204689,986.0999755859375,6
500000,15375.714643239975,986.7999877929688,6
0,132.12838006019592,0.0,5
50000,1592.8433763980865,890.5,5
100000,3122.288535118103,981.4000244140625,5
150000,4646.696746349335,979.5,5
200000,6174.213815689087,985.0,5
250000,7705.183815002441,985.5,5
300000,9229.984580516815,988.0999755859375,5
350000,10753.588866233826,985.5,5
400000,12284.880833864212,986.2999877929688,5
450000,13832.07893204689,986.9000244140625,5
500000,15375.714643239975,987.2999877929688,5
0,132.12838006019592,0.0,4
50000,1592.8433763980865,926.0999755859375,4
100000,3122.288535118103,982.2000122070312,4
150000,4646.696746349335,986.4000244140625,4
200000,6174.213815689087,984.2000122070312,4
250000,7705.183815002441,983.4000244140625,4
300000,9229.984580516815,984.4000244140625,4
350000,10753.588866233826,981.9000244140625,4
400000,12284.880833864212,989.5999755859375,4
450000,13832.07893204689,988.2000122070312,4
500000,15375.714643239975,989.5,4
0,132.12838006019592,0.0,3
50000,1592.8433763980865,973.2000122070312,3
100000,3122.288535118103,978.9000244140625,3
150000,4646.696746349335,983.0,3
200000,6174.213815689087,983.7000122070312,3
250000,7705.183815002441,982.2000122070312,3
300000,9229.984580516815,980.5,3
350000,10753.588866233826,978.7000122070312,3
400000,12284.880833864212,980.2999877929688,3
450000,13832.07893204689,985.4000244140625,3
500000,15375.714643239975,984.9000244140625,3
0,132.12838006019592,0.0,2
50000,1592.8433763980865,871.0,2
100000,3122.288535118103,883.0,2
150000,4646.696746349335,984.2000122070312,2
200000,6174.213815689087,981.5999755859375,2
250000,7705.183815002441,982.7999877929688,2
300000,9229.984580516815,976.7999877929688,2
350000,10753.588866233826,987.0999755859375,2
400000,12284.880833864212,986.5,2
450000,13832.07893204689,988.2999877929688,2
500000,15375.714643239975,989.2999877929688,2
0,132.12838006019592,0.0,1
50000,1592.8433763980865,960.5999755859375,1
100000,3122.288535118103,976.5,1
150000,4646.696746349335,920.7000122070312,1
200000,6174.213815689087,982.9000244140625,1
250000,7705.183815002441,967.5,1
300000,9229.984580516815,975.9000244140625,1
350000,10753.588866233826,979.9000244140625,1
400000,12284.880833864212,983.0,1
450000,13832.07893204689,979.7999877929688,1
500000,15375.714643239975,981.7999877929688,1
