step,time,reward,seed
0,133.55221796035767,0.0,0
50000,1613.7877340316772,257.0,0
100000,3161.2718839645386,579.2999877929688,0
150000,4708.050887823105,587.7000122070312,0
200000,6254.584066152573,679.5,0
250000,7801.946862220764,651.4000244140625,0
300000,9343.272516965866,660.0999755859375,0
350000,10887.424951314926,755.0999755859375,0
400000,12440.198257923126,783.0999755859375,0
450000,14008.109685182571,872.0,0
500000,15566.588222265244,979.5,0
0,133.55221796035767,0.0,7
50000,1613.7877340316772,96.0,7
100000,3161.2718839645386,606.9000244140625,7
150000,4708.050887823105,861.9000244140625,7
200000,6254.584066152573,702.0999755859375,7
250000,7801.946862220764,646.9000244140625,7
300000,9343.272516965866,777.0999755859375,7
350000,10887.424951314926,743.2999877929688,7
400000,12440.198257923126,881.7999877929688,7
450000,14008.109685182571,818.2999877929688,7
500000,15566.588222265244,946.0999755859375,7
0,133.55221796035767,1.399999976158142,6
50000,1613.7877340316772,116.5,6
100000,3161.2718839645386,389.29998779296875,6
150000,4708.050887823105,663.5,6
200000,6254.584066152573,666.7999877929688,6
250000,7801.946862220764,870.2999877929688,6
300000,9343.272516965866,925.0999755859375,6
350000,10887.424951314926,685.4000244140625,6
400000,12440.198257923126,971.5999755859375,6
450000,14008.109685182571,859.4000244140625,6
500000,15566.588222265244,880.7000122070312,6
0,133.55221796035767,305.79998779296875,5
50000,1613.7877340316772,300.6000061035156,5
100000,3161.2718839645386,388.20001220703125,5
150000,4708.050887823105,576.0,5
200000,6254.584066152573,734.5,5
250000,7801.946862220764,717.2999877929688,5
300000,9343.272516965866,578.2999877929688,5
350000,10887.424951314926,882.5999755859375,5
400000,12440.198257923126,773.7000122070312,5
450000,14008.109685182571,785.2999877929688,5
500000,15566.588222265244,851.5,5
0,133.55221796035767,97.0999984741211,4
50000,1613.7877340316772,0.20000000298023224,4
100000,3161.2718839645386,201.1999969482422,4
150000,4708.050887823105,263.79998779296875,4
200000,6254.584066152573,625.0,4
250000,7801.946862220764,649.7000122070312,4
300000,9343.272516965866,622.7999877929688,4
350000,10887.424951314926,646.5,4
400000,12440.198257923126,865.5999755859375,4
450000,14008.109685182571,867.7999877929688,4
500000,15566.588222265244,587.0,4
0,133.55221796035767,0.0,3
50000,1613.7877340316772,189.39999389648438,3
100000,3161.2718839645386,394.1000061035156,3
150000,4708.050887823105,751.5999755859375,3
200000,6254.584066152573,595.2999877929688,3
250000,7801.946862220764,676.2000122070312,3
300000,9343.272516965866,647.9000244140625,3
350000,10887.424951314926,835.0999755859375,3
400000,12440.198257923126,844.2999877929688,3
450000,14008.109685182571,942.4000244140625,3
500000,15566.588222265244,875.7999877929688,3
0,133.55221796035767,155.1999969482422,2
50000,1613.7877340316772,103.5,2
100000,3161.2718839645386,354.1000061035156,2
150000,4708.050887823105,654.4000244140625,2
200000,6254.584066152573,961.4000244140625,2
250000,7801.946862220764,873.4000244140625,2
300000,9343.272516965866,871.7000122070312,2
350000,10887.424951314926,972.2000122070312,2
400000,12440.198257923126,974.7999877929688,2
450000,14008.109685182571,870.7999877929688,2
500000,15566.588222265244,983.0,2
0,133.55221796035767,100.0,1
50000,1613.7877340316772,80.5999984741211,1
100000,3161.2718839645386,284.70001220703125,1
150000,4708.050887823105,669.0,1
200000,6254.584066152573,668.0999755859375,1
250000,7801.946862220764,785.5999755859375,1
300000,9343.272516965866,774.5999755859375,1
350000,10887.424951314926,684.5999755859375,1
400000,12440.198257923126,784.9000244140625,1
450000,14008.109685182571,965.5999755859375,1
500000,15566.588222265244,892.0999755859375,1
