step,time,reward,seed
0,131.58871865272522,20.226408004760742,0
50000,1585.4411911964417,624.5517578125,0
100000,3103.8755877017975,711.0224609375,0
150000,4623.730950832367,782.5671997070312,0
200000,6141.111449718475,810.2471923828125,0
250000,7660.863357543945,817.4764404296875,0
300000,9175.646135091782,820.2332763671875,0
350000,10689.354932785034,823.0328979492188,0
400000,12208.211029052734,815.1258544921875,0
450000,13743.604495763779,830.1622314453125,0
500000,15279.085226535797,835.119140625,0
0,131.58871865272522,24.117576599121094,7
50000,1585.4411911964417,626.9410400390625,7
100000,3103.8755877017975,710.3829956054688,7
150000,4623.730950832367,804.0270385742188,7
200000,6141.111449718475,811.160888671875,7
250000,7660.863357543945,823.0831909179688,7
300000,9175.646135091782,821.3292236328125,7
350000,10689.354932785034,824.3173828125,7
400000,12208.211029052734,827.5465087890625,7
450000,13743.604495763779,830.2259521484375,7
500000,15279.085226535797,832.8890380859375,7
0,131.58871865272522,20.342151641845703,6
50000,1585.4411911964417,663.519775390625,6
100000,3103.8755877017975,755.1805419921875,6
150000,4623.730950832367,796.4921264648438,6
200000,6141.111449718475,812.2562866210938,6
250000,7660.863357543945,812.6541748046875,6
300000,9175.646135091782,823.9225463867188,6
350000,10689.354932785034,810.6575317382812,6
400000,12208.211029052734,826.4072265625,6
450000,13743.604495763779,832.4442138671875,6
500000,15279.085226535797,830.1724853515625,6
0,131.58871865272522,19.61467170715332,4
50000,1585.4411911964417,619.17138671875,4
100000,3103.8755877017975,761.2862548828125,4
150000,4623.730950832367,793.26806640625,4
200000,6141.111449718475,803.020751953125,4
250000,7660.863357543945,820.6824340820312,4
300000,9175.646135091782,822.1087036132812,4
350000,10689.354932785034,823.9469604492188,4
400000,12208.211029052734,829.259765625,4
450000,13743.604495763779,831.5531005859375,4
500000,15279.085226535797,841.6416015625,4
0,131.58871865272522,24.198469161987305,5
50000,1585.4411911964417,655.0432739257812,5
100000,3103.8755877017975,743.1705932617188,5
150000,4623.730950832367,780.0560302734375,5
200000,6141.111449718475,798.6957397460938,5
250000,7660.863357543945,813.5933837890625,5
300000,9175.646135091782,821.36083984375,5
350000,10689.354932785034,832.1866455078125,5
400000,12208.211029052734,837.3880004882812,5
450000,13743.604495763779,837.7013549804688,5
500000,15279.085226535797,846.9367065429688,5
0,131.58871865272522,24.132884979248047,3
50000,1585.4411911964417,592.4807739257812,3
100000,3103.8755877017975,719.2406005859375,3
150000,4623.730950832367,790.5153198242188,3
200000,6141.111449718475,794.2879638671875,3
250000,7660.863357543945,827.8255615234375,3
300000,9175.646135091782,826.3699340820312,3
350000,10689.354932785034,833.0897216796875,3
400000,12208.211029052734,834.34619140625,3
450000,13743.604495763779,834.4295043945312,3
500000,15279.085226535797,838.02880859375,3
0,131.58871865272522,20.451425552368164,2
50000,1585.4411911964417,638.7908935546875,2
100000,3103.8755877017975,750.5390625,2
150000,4623.730950832367,784.6348876953125,2
200000,6141.111449718475,814.0103759765625,2
250000,7660.863357543945,818.9476318359375,2
300000,9175.646135091782,823.2647705078125,2
350000,10689.354932785034,813.0706787109375,2
400000,12208.211029052734,831.9776611328125,2
450000,13743.604495763779,818.2848510742188,2
500000,15279.085226535797,828.6920166015625,2
0,131.58871865272522,22.292522430419922,1
50000,1585.4411911964417,619.5299072265625,1
100000,3103.8755877017975,719.0687866210938,1
150000,4623.730950832367,788.87548828125,1
200000,6141.111449718475,797.8223876953125,1
250000,7660.863357543945,820.3734130859375,1
300000,9175.646135091782,824.0900268554688,1
350000,10689.354932785034,829.0353393554688,1
400000,12208.211029052734,839.0822143554688,1
450000,13743.604495763779,838.3777465820312,1
500000,15279.085226535797,841.8843994140625,1
