step,time,reward,seed
0,135.14573431015015,21.872289657592773,0
50000,1617.5053763389587,966.12841796875,0
100000,3166.370838403702,967.6607666015625,0
150000,4715.389168739319,964.7008056640625,0
200000,6263.838614702225,981.1500854492188,0
250000,7812.449842214584,981.4578857421875,0
0,135.14573431015015,26.961734771728516,7
50000,1617.5053763389587,955.9861450195312,7
100000,3166.370838403702,952.1268310546875,7
150000,4715.389168739319,978.9347534179688,7
200000,6263.838614702225,973.2974853515625,7
250000,7812.449842214584,975.8985595703125,7
300000,,971.93603515625,7
350000,,973.5548095703125,7
400000,,978.9586791992188,7
450000,,976.4929809570312,7
500000,,978.5509643554688,7
0,135.14573431015015,28.80751609802246,5
50000,1617.5053763389587,947.1570434570312,5
100000,3166.370838403702,965.8343505859375,5
150000,4715.389168739319,975.5531005859375,5
200000,6263.838614702225,956.1731567382812,5
250000,7812.449842214584,974.8029174804688,5
300000,,970.5636596679688,5
350000,,979.9058837890625,5
400000,,982.2828369140625,5
450000,,982.3226318359375,5
500000,,987.6781005859375,5
0,135.14573431015015,27.6195068359375,6
50000,1617.5053763389587,955.9583129882812,6
100000,3166.370838403702,875.44580078125,6
150000,4715.389168739319,977.5548095703125,6
200000,6263.838614702225,972.919921875,6
250000,7812.449842214584,974.5803833007812,6
300000,,972.1875,6
350000,,978.1004638671875,6
400000,,980.81298828125,6
450000,,972.6885986328125,6
500000,,977.3449096679688,6
0,135.14573431015015,21.52813720703125,4
50000,1617.5053763389587,962.7801513671875,4
100000,3166.370838403702,973.65625,4
150000,4715.389168739319,982.6259765625,4
200000,6263.838614702225,972.9561767578125,4
250000,7812.449842214584,974.5852661132812,4
300000,,977.6433715820312,4
350000,,974.5567626953125,4
400000,,978.2620239257812,4
450000,,975.3817138671875,4
500000,,979.4195556640625,4
0,135.14573431015015,29.25310707092285,3
50000,1617.5053763389587,963.2135009765625,3
100000,3166.370838403702,967.5306396484375,3
150000,4715.389168739319,969.51611328125,3
200000,6263.838614702225,970.4891357421875,3
250000,7812.449842214584,980.8952026367188,3
300000,,972.53515625,3
350000,,972.7117919921875,3
400000,,983.8850708007812,3
450000,,981.2353515625,3
500000,,975.89599609375,3
0,135.14573431015015,22.428131103515625,2
50000,1617.5053763389587,977.4134521484375,2
100000,3166.370838403702,962.2996826171875,2
150000,4715.389168739319,965.18798828125,2
200000,6263.838614702225,979.7335815429688,2
250000,7812.449842214584,977.5416870117188,2
300000,,979.3489379882812,2
350000,,974.7620849609375,2
400000,,983.1593627929688,2
450000,,976.1368408203125,2
500000,,974.0910034179688,2
0,135.14573431015015,25.646127700805664,1
50000,1617.5053763389587,952.43603515625,1
100000,3166.370838403702,956.7673950195312,1
150000,4715.389168739319,974.3899536132812,1
200000,6263.838614702225,977.0748901367188,1
250000,7812.449842214584,975.3359375,1
300000,,979.9005126953125,1
350000,,981.5792236328125,1
400000,,973.69677734375,1
450000,,963.2902221679688,1
500000,,981.4615478515625,1
