step,time,reward,seed
0.0,1.0621564,113.35465610000001,0
5000.0,4.966658,174.637845,0
100000.0,1793.0603000000003,377.217137,0
200000.0,3693.5088000000005,539.5132120000001,0
300000.0,5595.777,933.75948,0
400000.0,7497.102499999999,1307.81809,0
500000.0,9408.791,1150.5006939999998,0
600000.0,11325.143,2572.0212970000002,0
700000.0,13226.747999999998,2394.49487,0
800000.0,15131.454999999998,4038.900864,0
900000.0,17042.113,2946.39081,0
1000000.0,18947.143,3976.4066399999997,0
1100000.0,20859.406,4693.017180000001,0
1200000.0,22760.977,5484.27259,0
1300000.0,24694.822,1987.5875350000001,0
1400000.0,26637.678000000004,3044.5107199999998,0
1500000.0,28548.25,4984.71509,0
1600000.0,30487.330000000005,3894.1644800000004,0
1700000.0,32415.615,5038.63541,0
1800000.0,34357.996,5840.59264,0
1900000.0,36297.344,6082.26206,0
2000000.0,38235.125,6334.04155,0
2100000.0,40173.195,6368.94733,0
2200000.0,42096.67,6360.00318,0
2300000.0,44033.496,6564.992389999999,0
2400000.0,45962.008,5863.3854,0
2500000.0,47893.906,6102.37797,0
2600000.0,49816.234,6891.47892,0
2700000.0,51722.383,6885.748170000001,0
2800000.0,53646.574,7044.24157,0
2900000.0,55556.17,6910.30582,0
3000000.0,57498.96499999999,6975.185589999999,0
3100000.0,59436.08,3692.2927799999998,0
3200000.0,61374.219999999994,3776.3697679999996,0
3300000.0,63291.91799999999,7081.09527,0
3400000.0,65191.58999999999,7053.867029999999,0
3500000.0,67115.34,7200.84834,0
3600000.0,69042.63,7189.851240000001,0
3700000.0,70971.04,7399.77211,0
3800000.0,72899.76,4729.439684999999,0
3900000.0,74832.2,7563.03234,0
4000000.0,76758.8,6964.35631,0
4100000.0,78695.164,7695.45928,0
4200000.0,80607.836,4926.090193,0
4300000.0,82553.07,7612.6659,0
4400000.0,84481.8,7677.515150000001,0
4500000.0,86408.33,3468.148057,0
4600000.0,88343.125,7750.42659,0
4700000.0,90271.586,7666.0094899999995,0
4800000.0,92203.57,2932.551211,0
4900000.0,94149.93,7862.4205600000005,0
5000000.0,96079.84,7669.6207699999995,0
0.0,1.0621564,129.9074845,1
5000.0,4.966658,207.546193,1
100000.0,1793.0603000000003,433.41234000000003,1
200000.0,3693.5088000000005,412.24298699999997,1
300000.0,5595.777,709.317079,1
400000.0,7497.102499999999,1144.050267,1
500000.0,9408.791,1582.445504,1
600000.0,11325.143,2079.099267,1
700000.0,13226.747999999998,4423.3828699999995,1
800000.0,15131.454999999998,2426.856324,1
900000.0,17042.113,3334.05133,1
1000000.0,18947.143,4095.94249,1
1100000.0,20859.406,4342.56713,1
1200000.0,22760.977,1402.76205,1
1300000.0,24694.822,2767.87376,1
1400000.0,26637.678000000004,4357.39184,1
1500000.0,28548.25,2159.49291,1
1600000.0,30487.330000000005,4306.81152,1
1700000.0,32415.615,2435.1484410000003,1
1800000.0,34357.996,5630.54502,1
1900000.0,36297.344,3885.3773,1
2000000.0,38235.125,5084.57977,1
2100000.0,40173.195,5828.8736499999995,1
2200000.0,42096.67,5513.20093,1
2300000.0,44033.496,5012.286529999999,1
2400000.0,45962.008,6134.86114,1
2500000.0,47893.906,5178.5707999999995,1
2600000.0,49816.234,5421.92407,1
2700000.0,51722.383,6468.822819999999,1
2800000.0,53646.574,2995.405139,1
2900000.0,55556.17,6761.28155,1
3000000.0,57498.96499999999,7041.535249999999,1
3100000.0,59436.08,6848.226970000001,1
3200000.0,61374.219999999994,7013.79185,1
3300000.0,63291.91799999999,7033.74083,1
3400000.0,65191.58999999999,7062.6779,1
3500000.0,67115.34,7139.47337,1
3600000.0,69042.63,7091.82711,1
3700000.0,70971.04,7307.251859999999,1
3800000.0,72899.76,5534.01325,1
3900000.0,74832.2,7418.366010000001,1
4000000.0,76758.8,7520.206389999999,1
4100000.0,78695.164,7529.27723,1
4200000.0,80607.836,7405.97558,1
4300000.0,82553.07,7724.23943,1
4400000.0,84481.8,7744.492380000001,1
4500000.0,86408.33,7899.991120000001,1
4600000.0,88343.125,7912.43021,1
4700000.0,90271.586,7761.203479999999,1
4800000.0,92203.57,7452.400200000001,1
4900000.0,94149.93,7505.9477,1
5000000.0,96079.84,7840.96036,1
0.0,1.0621564,112.25992799999999,2
5000.0,4.966658,268.310525,2
100000.0,1793.0603000000003,319.808824,2
200000.0,3693.5088000000005,363.382841,2
300000.0,5595.777,651.535779,2
400000.0,7497.102499999999,5216.382589999999,2
500000.0,9408.791,2827.57891,2
600000.0,11325.143,1977.9362700000001,2
700000.0,13226.747999999998,3061.47814,2
800000.0,15131.454999999998,4354.8286,2
900000.0,17042.113,2312.94059,2
1000000.0,18947.143,5431.82797,2
1100000.0,20859.406,2480.66619,2
1200000.0,22760.977,1874.27602,2
1300000.0,24694.822,2515.0733,2
1400000.0,26637.678000000004,3114.48331,2
1500000.0,28548.25,4755.930874,2
1600000.0,30487.330000000005,1810.440865,2
1700000.0,32415.615,5172.6797400000005,2
1800000.0,34357.996,4164.01146,2
1900000.0,36297.344,3745.63739,2
2000000.0,38235.125,5918.49694,2
2100000.0,40173.195,6013.47259,2
2200000.0,42096.67,4918.92421,2
2300000.0,44033.496,5964.996590000001,2
2400000.0,45962.008,5458.0004,2
2500000.0,47893.906,6011.7979399999995,2
2600000.0,49816.234,6205.39611,2
2700000.0,51722.383,4909.949457000001,2
2800000.0,53646.574,6528.05312,2
2900000.0,55556.17,6635.41979,2
3000000.0,57498.96499999999,6145.41736,2
3100000.0,59436.08,6653.3620900000005,2
3200000.0,61374.219999999994,6900.05747,2
3300000.0,63291.91799999999,6725.82109,2
3400000.0,65191.58999999999,6351.11268,2
3500000.0,67115.34,6514.18196,2
3600000.0,69042.63,6143.59318,2
3700000.0,70971.04,3769.349901,2
3800000.0,72899.76,3161.01282,2
3900000.0,74832.2,7281.93475,2
4000000.0,76758.8,7262.701279999999,2
4100000.0,78695.164,6786.292759999999,2
4200000.0,80607.836,6652.243769999999,2
4300000.0,82553.07,7476.64767,2
4400000.0,84481.8,7669.00129,2
4500000.0,86408.33,8045.85567,2
4600000.0,88343.125,7867.09081,2
4700000.0,90271.586,8288.361249999998,2
4800000.0,92203.57,8149.82243,2
4900000.0,94149.93,8302.671400000001,2
5000000.0,96079.84,8480.1607,2
0.0,1.0621564,97.3597595,3
5000.0,4.966658,189.719595,3
100000.0,1793.0603000000003,443.024053,3
200000.0,3693.5088000000005,620.639458,3
300000.0,5595.777,753.157139,3
400000.0,7497.102499999999,1713.0008999999998,3
500000.0,9408.791,2579.347265,3
600000.0,11325.143,3583.1068400000004,3
700000.0,13226.747999999998,1698.6167240000002,3
800000.0,15131.454999999998,1113.855943,3
900000.0,17042.113,3581.5285300000005,3
1000000.0,18947.143,2295.427882,3
1100000.0,20859.406,2073.440816,3
1200000.0,22760.977,2125.497311,3
1300000.0,24694.822,2750.6043,3
1400000.0,26637.678000000004,4842.12277,3
1500000.0,28548.25,3857.39669,3
1600000.0,30487.330000000005,4406.9558400000005,3
1700000.0,32415.615,4234.93274,3
1800000.0,34357.996,5552.28197,3
1900000.0,36297.344,4535.95875,3
2000000.0,38235.125,5237.56527,3
2100000.0,40173.195,5912.49516,3
2200000.0,42096.67,5577.29015,3
2300000.0,44033.496,6107.39426,3
2400000.0,45962.008,6243.14686,3
2500000.0,47893.906,4363.563247,3
2600000.0,49816.234,5562.2478,3
2700000.0,51722.383,6352.55877,3
2800000.0,53646.574,6143.18363,3
2900000.0,55556.17,7087.10145,3
3000000.0,57498.96499999999,7135.45099,3
3100000.0,59436.08,7174.24424,3
3200000.0,61374.219999999994,6179.008527,3
3300000.0,63291.91799999999,5351.745616,3
3400000.0,65191.58999999999,7498.98019,3
3500000.0,67115.34,7583.63658,3
3600000.0,69042.63,7890.11098,3
3700000.0,70971.04,8118.245540000001,3
3800000.0,72899.76,8211.83303,3
3900000.0,74832.2,8568.2013,3
4000000.0,76758.8,4628.311704,3
4100000.0,78695.164,8546.9187,3
4200000.0,80607.836,7774.2624,3
4300000.0,82553.07,8835.8845,3
4400000.0,84481.8,8575.463399999999,3
4500000.0,86408.33,8801.666000000001,3
4600000.0,88343.125,8002.77122,3
4700000.0,90271.586,7863.435936,3
4800000.0,92203.57,8011.16368,3
4900000.0,94149.93,8691.8599,3
5000000.0,96079.84,8766.39305,3
0.0,1.0621564,108.69722300000001,4
5000.0,4.966658,200.78229000000002,4
100000.0,1793.0603000000003,475.271894,4
200000.0,3693.5088000000005,547.815891,4
300000.0,5595.777,903.4053459999999,4
400000.0,7497.102499999999,1775.8166399999998,4
500000.0,9408.791,996.831071,4
600000.0,11325.143,2661.14856,4
700000.0,13226.747999999998,2203.44683,4
800000.0,15131.454999999998,1048.9630659999998,4
900000.0,17042.113,2953.9790199999998,4
1000000.0,18947.143,4472.48836,4
1100000.0,20859.406,1490.33094,4
1200000.0,22760.977,696.404075,4
1300000.0,24694.822,4805.4621,4
1400000.0,26637.678000000004,799.323513,4
1500000.0,28548.25,2871.7429899999997,4
1600000.0,30487.330000000005,5731.31472,4
1700000.0,32415.615,919.663572,4
1800000.0,34357.996,5896.0475,4
1900000.0,36297.344,5969.99554,4
2000000.0,38235.125,5987.79038,4
2100000.0,40173.195,6066.81561,4
2200000.0,42096.67,6071.4029,4
2300000.0,44033.496,6207.39498,4
2400000.0,45962.008,6473.446379999999,4
2500000.0,47893.906,5392.25485,4
2600000.0,49816.234,2629.485798,4
2700000.0,51722.383,6562.08606,4
2800000.0,53646.574,6940.004610000001,4
2900000.0,55556.17,6676.297839999999,4
3000000.0,57498.96499999999,6238.57309,4
3100000.0,59436.08,7116.90993,4
3200000.0,61374.219999999994,7204.536419999999,4
3300000.0,63291.91799999999,5442.70647,4
3400000.0,65191.58999999999,7303.13407,4
3500000.0,67115.34,7207.214170000001,4
3600000.0,69042.63,6762.806385000001,4
3700000.0,70971.04,7605.62003,4
3800000.0,72899.76,6818.27435,4
3900000.0,74832.2,7652.37056,4
4000000.0,76758.8,7829.9533599999995,4
4100000.0,78695.164,7796.82038,4
4200000.0,80607.836,7761.1483800000005,4
4300000.0,82553.07,7672.212219999999,4
4400000.0,84481.8,7800.92926,4
4500000.0,86408.33,7795.53967,4
4600000.0,88343.125,7849.308999999999,4
4700000.0,90271.586,7781.72865,4
4800000.0,92203.57,7885.707619999999,4
4900000.0,94149.93,7808.6591499999995,4
5000000.0,96079.84,7937.374309999999,4
