step,time,reward,seed
0,277.58127546310425,-36.61548614501953,3
10000,1265.4006628990173,321.0343933105469,3
20000,2461.3498499393463,1926.193359375,3
30000,3642.1135280132294,2919.528076171875,3
40000,4813.700691461563,1821.1217041015625,3
50000,5976.15283370018,5493.8671875,3
60000,7123.922164201736,5937.9453125,3
70000,8263.109894275665,4982.3759765625,3
80000,9401.610745191574,7376.96240234375,3
90000,10537.065414428711,8541.861328125,3
100000,11665.951379776001,2849.818115234375,3
110000,12788.614245891571,9142.6962890625,3
120000,13916.385406017303,8581.1494140625,3
130000,15047.365884065628,8852.0947265625,3
140000,16181.814571857452,10043.1416015625,3
150000,17325.766347408295,9814.326171875,3
160000,18474.282377958298,9553.5478515625,3
170000,19629.47305035591,10718.1875,3
180000,20784.94860458374,10623.833984375,3
190000,21937.93384718895,8534.3056640625,3
200000,23086.40944814682,10030.51171875,3
210000,24231.677933454514,9841.79296875,3
220000,25365.8840007782,10249.46484375,3
230000,26486.72890663147,11371.9453125,3
240000,27601.140714406967,11218.35546875,3
250000,28704.859079360962,11889.2197265625,3
260000,29801.891251802444,12224.26953125,3
270000,30889.328459978104,11147.8203125,3
280000,31973.374762773514,11611.2421875,3
290000,33060.808227062225,11088.8720703125,3
300000,34148.13899850845,9493.2373046875,3
310000,35236.04113316536,10891.017578125,3
320000,36333.41945362091,10279.173828125,3
330000,37439.66140437126,12602.5107421875,3
340000,38557.39319682121,12690.578125,3
350000,39677.24374485016,12928.3408203125,3
360000,40801.606930971146,12201.634765625,3
370000,41919.137634038925,11173.5947265625,3
380000,43027.677933216095,12457.4951171875,3
390000,44131.809378147125,11543.482421875,3
400000,45233.675069093704,11993.28125,3
410000,46330.21544981003,12810.216796875,3
420000,47430.821074962616,10999.0029296875,3
430000,48531.73184919357,12302.259765625,3
440000,49621.17562866211,13496.560546875,3
450000,50708.319797992706,13150.515625,3
460000,51796.55285310745,13374.263671875,3
470000,52891.36173725128,13564.361328125,3
480000,53992.05449986458,13867.412109375,3
490000,55104.444350004196,13557.677734375,3
500000,56220.24999666214,13253.580078125,3
0,280.69291639328003,-17.038808822631836,2
10000,1275.8904457092285,325.27069091796875,2
20000,2477.24010181427,3318.094970703125,2
30000,3666.447774887085,1906.8873291015625,2
40000,4845.903109788895,5818.85693359375,2
50000,6012.106586456299,5248.7255859375,2
60000,7169.283893823624,7847.63671875,2
70000,8318.793229818344,6897.81494140625,2
80000,9462.615130901337,8398.4990234375,2
90000,10607.422837734222,9454.763671875,2
100000,11743.219985961914,8633.6943359375,2
110000,12877.774730920792,6633.0380859375,2
120000,14014.932508707047,7904.19677734375,2
130000,15158.646256923676,9638.958984375,2
140000,16306.406753063202,9385.02734375,2
150000,17459.983563423157,10710.849609375,2
160000,18621.563659906387,9893.2978515625,2
170000,19786.51539373398,9596.775390625,2
180000,20955.092799901962,11252.505859375,2
190000,22119.028725147247,11630.1005859375,2
200000,23275.858165740967,11019.830078125,2
210000,24430.439272880554,11325.705078125,2
220000,25575.900990247726,11046.60546875,2
230000,26709.58547616005,11464.76171875,2
240000,27833.455549240112,9298.119140625,2
250000,28949.38992357254,11832.7216796875,2
260000,30056.559433937073,11241.744140625,2
270000,31153.45293712616,11776.7529296875,2
280000,32250.24572634697,11134.78515625,2
290000,33352.436247587204,12027.12890625,2
300000,34448.4916036129,12401.380859375,2
310000,35550.97637748718,11818.8935546875,2
320000,36655.716433763504,11379.517578125,2
330000,37774.24691534042,11606.318359375,2
340000,38899.62248325348,10054.5,2
350000,40031.47767543793,11543.982421875,2
360000,41161.609810590744,11938.548828125,2
370000,42278.161680698395,12468.8662109375,2
380000,43393.64943289757,12963.564453125,2
390000,44506.90919446945,13224.177734375,2
400000,45619.67696046829,12865.681640625,2
410000,46729.00428152084,12977.2490234375,2
420000,47842.28841805458,13176.626953125,2
430000,48947.9245121479,13235.6201171875,2
440000,50044.17836737633,13758.392578125,2
450000,51143.60303425789,12616.16796875,2
460000,52245.094769239426,13372.478515625,2
470000,53355.53880620003,13790.5078125,2
480000,54470.96688938141,14183.1796875,2
490000,55598.72486138344,13850.533203125,2
500000,56717.034779548645,14252.6875,2
0,279.75046968460083,-149.80154418945312,1
10000,1279.2143337726593,542.3853149414062,1
20000,2482.3891015052795,636.1043701171875,1
30000,3671.8677356243134,3287.115966796875,1
40000,4851.579618930817,4699.546875,1
50000,6020.066498041153,7008.28125,1
60000,7180.33850646019,7598.8779296875,1
70000,8327.064557790756,8532.099609375,1
80000,9473.241871356964,8622.8837890625,1
90000,10616.392085075378,9274.958984375,1
100000,11752.637066602707,8900.916015625,1
110000,12886.258276939392,9076.154296875,1
120000,14020.81526684761,7718.51318359375,1
130000,15162.361948013306,8918.451171875,1
140000,16309.60920548439,9146.9130859375,1
150000,17463.76100564003,7928.9921875,1
160000,18622.550365686417,10580.37890625,1
170000,19788.87096953392,10239.8896484375,1
180000,20957.299619197845,9653.607421875,1
190000,22122.345414876938,8518.8046875,1
200000,23284.349352121353,10268.3408203125,1
210000,24442.996382951736,10993.1982421875,1
220000,25589.648112297058,9548.498046875,1
230000,26724.302723169327,10583.0068359375,1
240000,27848.30869269371,9713.78125,1
250000,28963.579887390137,10807.65234375,1
260000,30071.9274225235,10040.138671875,1
270000,31166.94685125351,9567.4697265625,1
280000,32263.53795671463,11282.392578125,1
290000,33362.599932193756,8949.90625,1
300000,34459.377581357956,11256.404296875,1
310000,35560.58428311348,11205.5322265625,1
320000,36667.935442209244,11890.400390625,1
330000,37786.13289928436,11846.412109375,1
340000,38911.70724272728,12366.1767578125,1
350000,40044.02213382721,11763.80078125,1
360000,41176.7024102211,12781.765625,1
370000,42294.085747241974,12197.86328125,1
380000,43411.02440690994,12419.3818359375,1
390000,44524.883078575134,12839.6337890625,1
400000,45634.48618006706,12666.1435546875,1
410000,46743.45158982277,12745.654296875,1
420000,47855.1959605217,12656.451171875,1
430000,48961.50089812279,12567.951171875,1
440000,50062.03185391426,12158.3662109375,1
450000,51158.98343396187,12990.1259765625,1
460000,52263.779088974,12746.900390625,1
470000,53371.70588135719,13509.7470703125,1
480000,54488.03400659561,12455.6708984375,1
490000,55609.978816747665,12881.09375,1
500000,56727.296867609024,13219.849609375,1
0,280.1854054927826,-107.6458740234375,5
10000,1283.4931254386902,764.4788818359375,5
20000,2494.8982949256897,1795.7015380859375,5
30000,3694.0404284000397,2819.13037109375,5
40000,4880.024933576584,3898.24609375,5
50000,6059.4825921058655,3417.61767578125,5
60000,7223.519973039627,6490.93603515625,5
