step,time,reward,seed,critic_loss
0.0,2.0777974,11.5,0,
5000.0,71.492096,134.1,0,0.5188655257225037
10000.0,147.54007,410.1,0,2.356645345687866
20000.0,336.05167,592.5,0,3.996391296386719
30000.0,551.38983,742.6,0,2.172750473022461
40000.0,786.84235,876.6,0,1.6272690296173096
50000.0,1009.1088,772.4,0,1.0154274702072144
60000.0,1203.476,897.6,0,0.927923321723938
70000.0,1407.1766,978.1,0,0.5732781887054443
80000.0,1619.2975,971.7,0,0.6825297474861145
90000.0,1798.7122,856.1,0,0.6425796747207642
100000.0,1994.4998,968.5,0,0.5135111212730408
110000.0,2197.8108,970.4,0,0.4045189917087555
120000.0,2395.1724,948.6,0,0.4153661727905273
130000.0,2582.0754,968.7,0,0.3568777740001678
140000.0,2768.0847,957.3,0,0.5412248373031616
150000.0,2968.1467,967.6,0,0.3463695347309112
160000.0,3153.2224,953.2,0,0.3868123888969421
170000.0,3341.7470000000003,974.2,0,0.3095850050449371
180000.0,3539.9414000000006,960.9,0,0.2686203122138977
190000.0,3713.0183000000006,878.3,0,0.298599898815155
200000.0,3890.21,907.6,0,0.3222083747386932
210000.0,4067.3867,969.6,0,0.2368143796920776
220000.0,4242.008,972.0,0,0.197331815958023
230000.0,4421.8945,977.7,0,0.2025739252567291
240000.0,4596.74,971.4,0,0.2627895176410675
250000.0,4774.464,973.1,0,0.2618425786495209
260000.0,4937.547,972.1,0,0.2463447600603103
270000.0,5098.4604,973.1,0,0.1687621027231216
280000.0,5279.626,976.8,0,0.1187550574541091
290000.0,5456.559,975.1,0,0.2147787064313888
300000.0,5618.2065,975.9,0,0.3062995076179504
310000.0,5792.1294,686.0,0,0.1795365363359451
320000.0,5970.376,979.9,0,0.1492473930120468
330000.0,6130.5034,976.9,0,0.1407829821109771
340000.0,6290.5337,970.3,0,0.2282860279083252
350000.0,6465.78,973.3,0,0.4953190386295318
360000.0,6628.711,973.8,0,0.2348120510578155
370000.0,6802.837000000001,975.5,0,0.3852878510951996
380000.0,6961.0419999999995,962.9,0,0.2992419600486755
390000.0,7136.794400000001,974.2,0,0.4085640907287597
400000.0,7304.681999999999,974.2,0,0.1248032376170158
410000.0,7480.2905,977.4,0,0.1182507053017616
420000.0,7659.239,928.2,0,0.1455671042203903
430000.0,7830.509,976.8,0,0.1312765479087829
440000.0,8005.533,974.3,0,0.188846156001091
450000.0,8176.7666,969.6,0,0.1709930896759033
460000.0,8335.979,978.5,0,0.3129918575286865
470000.0,8504.981,973.5,0,0.1291969418525695
480000.0,8677.045,979.0,0,0.1429817229509353
490000.0,8849.496,979.2,0,0.1073209270834922
500000.0,9004.114,955.4,0,0.1748272031545639
0.0,2.0777974,5.5,6,
5000.0,71.492096,0.0,6,0.00069172604708
10000.0,147.54007,1.3,6,1.0237735509872437
20000.0,336.05167,430.1,6,9.828444480895996
30000.0,551.38983,384.9,6,3.010809898376465
40000.0,786.84235,662.2,6,4.645580291748047
50000.0,1009.1088,503.7,6,3.4229321479797363
60000.0,1203.476,563.9,6,1.7587045431137085
70000.0,1407.1766,531.1,6,3.3176262378692627
80000.0,1619.2975,950.9,6,2.4618375301361084
90000.0,1798.7122,776.1,6,2.0327816009521484
100000.0,1994.4998,950.5,6,2.24091911315918
110000.0,2197.8108,932.8,6,1.9831697940826416
120000.0,2395.1724,869.9,6,1.4433047771453855
130000.0,2582.0754,869.4,6,0.7274051904678345
140000.0,2768.0847,961.2,6,0.9008745551109314
150000.0,2968.1467,965.6,6,0.8938385248184204
160000.0,3153.2224,969.7,6,0.881757378578186
170000.0,3341.7470000000003,796.0,6,0.6554264426231384
180000.0,3539.9414000000006,943.3,6,0.550712525844574
190000.0,3713.0183000000006,922.2,6,0.6728864908218384
200000.0,3890.21,937.7,6,1.1056606769561768
210000.0,4067.3867,963.7,6,0.5973802208900452
220000.0,4242.008,973.1,6,0.6467890739440918
230000.0,4421.8945,872.9,6,0.5713919997215271
240000.0,4596.74,969.1,6,0.5751428604125977
250000.0,4774.464,938.7,6,0.7451404929161072
260000.0,4937.547,966.0,6,0.4291263520717621
270000.0,5098.4604,976.0,6,0.5081927180290222
280000.0,5279.626,971.4,6,0.3230123221874237
290000.0,5456.559,974.4,6,0.3907236456871032
300000.0,5618.2065,977.2,6,0.7881826758384705
310000.0,5792.1294,976.4,6,0.5325902700424194
320000.0,5970.376,873.2,6,0.8663991093635559
330000.0,6130.5034,972.1,6,0.5883194208145142
340000.0,6290.5337,868.7,6,0.280624121427536
350000.0,6465.78,876.5,6,0.2200366556644439
360000.0,6628.711,877.0,6,0.2145868390798568
370000.0,6802.837000000001,978.5,6,0.2085222452878952
380000.0,6961.0419999999995,967.9,6,0.2860012948513031
390000.0,7136.794400000001,974.7,6,0.2381587028503418
400000.0,7304.681999999999,978.0,6,0.2761084735393524
410000.0,7480.2905,974.7,6,0.1792597025632858
420000.0,7659.239,973.9,6,0.2070755213499069
430000.0,7830.509,883.5,6,0.2726128995418548
440000.0,8005.533,967.6,6,1.2454112768173218
450000.0,8176.7666,967.8,6,0.1748099625110626
460000.0,8335.979,972.0,6,0.5426881313323975
470000.0,8504.981,977.0,6,0.129007339477539
480000.0,8677.045,979.0,6,0.183576762676239
490000.0,8849.496,907.5,6,0.2692010104656219
500000.0,9004.114,919.6,6,0.1801325380802154
0.0,2.0777974,19.4,8,
5000.0,71.492096,0.0,8,8.312518119812012
10000.0,147.54007,114.9,8,3.275470018386841
20000.0,336.05167,0.0,8,5.902642726898193
30000.0,551.38983,230.1,8,4.415695190429688
40000.0,786.84235,404.7,8,5.555871486663818
50000.0,1009.1088,611.8,8,3.773707628250122
60000.0,1203.476,271.9,8,3.407849073410034
70000.0,1407.1766,834.7,8,2.0787458419799805
80000.0,1619.2975,918.5,8,1.7660330533981323
90000.0,1798.7122,967.7,8,1.644957423210144
100000.0,1994.4998,976.6,8,1.616205811500549
110000.0,2197.8108,877.4,8,1.1615501642227173
120000.0,2395.1724,969.4,8,1.1579442024230957
130000.0,2582.0754,944.4,8,1.0369093418121338
140000.0,2768.0847,975.3,8,0.7161232233047485
150000.0,2968.1467,970.5,8,0.6119534373283386
160000.0,3153.2224,975.0,8,0.6394408345222473
170000.0,3341.7470000000003,866.9,8,0.4823571145534515
180000.0,3539.9414000000006,966.8,8,0.6375517249107361
190000.0,3713.0183000000006,969.5,8,0.5772690176963806
200000.0,3890.21,971.7,8,0.6412642598152161
210000.0,4067.3867,957.9,8,0.6890383362770081
220000.0,4242.008,973.8,8,0.5797678828239441
