step,time,reward,seed
0.0,2.3353102,0.0,0
0.0,2.3353102,0.0,5
5000.0,,99.4,5
10000.0,,284.8,5
20000.0,,290.5,5
30000.0,,970.8,5
40000.0,,954.2,5
50000.0,,962.6,5
60000.0,,877.2,5
70000.0,,971.8,5
80000.0,,976.3,5
90000.0,,973.6,5
100000.0,,966.3,5
110000.0,,972.1,5
120000.0,,988.0,5
130000.0,,974.9,5
140000.0,,965.5,5
150000.0,,975.1,5
160000.0,,971.9,5
170000.0,,971.6,5
180000.0,,984.8,5
190000.0,,980.0,5
200000.0,,978.4,5
210000.0,,959.9,5
220000.0,,972.4,5
230000.0,,982.1,5
240000.0,,975.9,5
250000.0,,969.5,5
0.0,2.3353102,125.0,3
5000.0,,0.0,3
10000.0,,99.8,3
20000.0,,952.9,3
30000.0,,955.6,3
40000.0,,964.8,3
50000.0,,961.7,3
60000.0,,970.2,3
70000.0,,971.1,3
80000.0,,973.7,3
90000.0,,978.1,3
100000.0,,970.1,3
110000.0,,975.9,3
120000.0,,963.1,3
130000.0,,975.6,3
140000.0,,965.2,3
150000.0,,972.8,3
160000.0,,975.4,3
170000.0,,976.2,3
180000.0,,978.6,3
190000.0,,974.0,3
200000.0,,973.8,3
210000.0,,975.3,3
220000.0,,975.1,3
230000.0,,955.5,3
240000.0,,971.0,3
250000.0,,966.4,3
0.0,2.3353102,103.3,7
5000.0,,459.5,7
10000.0,,99.4,7
20000.0,,382.8,7
30000.0,,965.6,7
40000.0,,964.7,7
50000.0,,806.6,7
60000.0,,972.4,7
70000.0,,969.6,7
80000.0,,969.1,7
90000.0,,973.7,7
100000.0,,978.4,7
110000.0,,963.3,7
120000.0,,975.7,7
130000.0,,965.3,7
140000.0,,974.9,7
150000.0,,979.4,7
160000.0,,962.9,7
170000.0,,967.1,7
180000.0,,970.7,7
190000.0,,952.8,7
200000.0,,974.4,7
210000.0,,973.5,7
220000.0,,977.7,7
230000.0,,979.7,7
240000.0,,960.7,7
250000.0,,975.1,7
0.0,2.3353102,0.0,1
5000.0,,99.0,1
10000.0,,0.0,1
20000.0,,0.0,1
30000.0,,98.3,1
40000.0,,582.7,1
50000.0,,965.8,1
60000.0,,978.9,1
70000.0,,964.4,1
80000.0,,971.8,1
90000.0,,976.3,1
100000.0,,981.7,1
110000.0,,968.1,1
120000.0,,966.4,1
130000.0,,973.5,1
140000.0,,919.2,1
150000.0,,973.1,1
160000.0,,966.8,1
170000.0,,969.2,1
180000.0,,977.1,1
190000.0,,981.2,1
200000.0,,976.4,1
210000.0,,978.1,1
220000.0,,958.5,1
230000.0,,976.8,1
240000.0,,979.1,1
250000.0,,978.7,1
0.0,2.3353102,116.2,4
5000.0,,0.0,4
10000.0,,0.0,4
20000.0,,939.6,4
30000.0,,967.8,4
40000.0,,966.0,4
50000.0,,977.7,4
60000.0,,972.0,4
70000.0,,966.3,4
80000.0,,973.2,4
90000.0,,966.4,4
100000.0,,965.3,4
110000.0,,871.1,4
120000.0,,979.4,4
130000.0,,965.3,4
140000.0,,971.5,4
150000.0,,982.2,4
160000.0,,951.5,4
170000.0,,978.0,4
180000.0,,973.8,4
190000.0,,975.2,4
200000.0,,977.6,4
210000.0,,956.6,4
220000.0,,958.5,4
230000.0,,976.7,4
240000.0,,974.1,4
250000.0,,976.2,4
0.0,2.3353102,0.0,6
5000.0,,0.0,6
10000.0,,255.6,6
20000.0,,950.8,6
30000.0,,965.9,6
40000.0,,967.6,6
50000.0,,947.6,6
60000.0,,973.2,6
70000.0,,975.0,6
80000.0,,978.6,6
90000.0,,974.3,6
100000.0,,973.9,6
110000.0,,960.8,6
120000.0,,977.8,6
130000.0,,968.6,6
140000.0,,974.0,6
150000.0,,970.7,6
160000.0,,974.0,6
170000.0,,972.9,6
180000.0,,978.0,6
190000.0,,979.5,6
200000.0,,975.9,6
210000.0,,974.7,6
220000.0,,973.0,6
230000.0,,974.2,6
240000.0,,976.1,6
250000.0,,976.2,6
0.0,2.3353102,0.0,2
5000.0,,189.9,2
10000.0,,99.3,2
20000.0,,0.0,2
30000.0,,671.9,2
40000.0,,952.5,2
50000.0,,975.5,2
60000.0,,977.7,2
70000.0,,975.9,2
80000.0,,980.6,2
90000.0,,979.3,2
100000.0,,944.6,2
110000.0,,971.4,2
120000.0,,973.0,2
130000.0,,977.6,2
140000.0,,982.3,2
150000.0,,979.1,2
160000.0,,973.8,2
170000.0,,971.5,2
180000.0,,978.5,2
190000.0,,983.5,2
200000.0,,972.1,2
210000.0,,978.0,2
220000.0,,986.3,2
230000.0,,980.2,2
240000.0,,973.9,2
250000.0,,975.3,2
