step,time,reward,seed
0.0,2.163104,0.4,0
0.0,2.163104,0.8,4
5000.0,,0.0,4
10000.0,,0.0,4
20000.0,,68.8,4
30000.0,,605.9,4
40000.0,,747.8,4
50000.0,,779.7,4
60000.0,,797.2,4
70000.0,,799.9,4
80000.0,,825.5,4
90000.0,,784.8,4
100000.0,,734.6,4
110000.0,,830.6,4
120000.0,,842.3,4
130000.0,,834.7,4
140000.0,,804.6,4
150000.0,,833.6,4
160000.0,,851.6,4
170000.0,,830.7,4
180000.0,,826.1,4
190000.0,,814.3,4
200000.0,,807.9,4
210000.0,,892.2,4
220000.0,,824.5,4
230000.0,,954.8,4
240000.0,,931.4,4
250000.0,,854.5,4
260000.0,,961.5,4
270000.0,,964.9,4
280000.0,,881.0,4
290000.0,,854.5,4
300000.0,,920.8,4
310000.0,,847.4,4
320000.0,,912.3,4
330000.0,,912.3,4
340000.0,,886.0,4
350000.0,,982.0,4
360000.0,,790.4,4
370000.0,,980.9,4
380000.0,,980.4,4
390000.0,,978.4,4
400000.0,,979.0,4
410000.0,,823.7,4
420000.0,,978.3,4
430000.0,,978.3,4
440000.0,,977.0,4
450000.0,,976.2,4
460000.0,,977.9,4
470000.0,,976.4,4
480000.0,,880.7,4
490000.0,,977.0,4
500000.0,,974.1,4
0.0,2.163104,1.4,1
5000.0,,0.0,1
10000.0,,2.6,1
20000.0,,319.1,1
30000.0,,351.2,1
40000.0,,384.1,1
50000.0,,414.6,1
60000.0,,401.7,1
70000.0,,431.7,1
80000.0,,372.4,1
90000.0,,430.4,1
100000.0,,428.3,1
110000.0,,430.4,1
120000.0,,431.6,1
130000.0,,428.7,1
140000.0,,430.9,1
150000.0,,430.8,1
160000.0,,429.8,1
170000.0,,430.5,1
180000.0,,430.7,1
190000.0,,430.4,1
200000.0,,431.2,1
210000.0,,431.7,1
220000.0,,431.1,1
230000.0,,431.9,1
240000.0,,432.8,1
250000.0,,430.7,1
260000.0,,430.2,1
270000.0,,431.4,1
280000.0,,430.8,1
290000.0,,428.8,1
300000.0,,430.3,1
310000.0,,428.9,1
320000.0,,432.2,1
330000.0,,431.1,1
340000.0,,429.7,1
350000.0,,430.7,1
360000.0,,415.9,1
370000.0,,430.0,1
380000.0,,432.8,1
390000.0,,433.6,1
400000.0,,432.0,1
410000.0,,432.7,1
420000.0,,433.9,1
430000.0,,432.0,1
440000.0,,430.4,1
450000.0,,432.9,1
460000.0,,432.5,1
470000.0,,430.9,1
480000.0,,431.1,1
490000.0,,429.5,1
500000.0,,431.2,1
0.0,2.163104,0.0,3
5000.0,,0.0,3
10000.0,,0.0,3
20000.0,,1.6,3
30000.0,,28.3,3
40000.0,,345.6,3
50000.0,,371.3,3
60000.0,,368.3,3
70000.0,,371.2,3
80000.0,,484.6,3
90000.0,,541.5,3
100000.0,,549.4,3
110000.0,,551.6,3
120000.0,,548.4,3
130000.0,,550.6,3
140000.0,,549.5,3
150000.0,,548.2,3
160000.0,,546.9,3
170000.0,,541.8,3
180000.0,,544.2,3
190000.0,,551.2,3
200000.0,,561.0,3
210000.0,,562.5,3
220000.0,,689.0,3
230000.0,,776.4,3
240000.0,,917.1,3
250000.0,,968.1,3
260000.0,,959.7,3
270000.0,,942.9,3
280000.0,,976.1,3
290000.0,,967.1,3
300000.0,,959.2,3
310000.0,,979.5,3
320000.0,,980.3,3
330000.0,,973.9,3
340000.0,,982.1,3
350000.0,,773.5,3
360000.0,,980.3,3
370000.0,,978.1,3
380000.0,,954.1,3
390000.0,,976.9,3
400000.0,,974.5,3
410000.0,,974.2,3
420000.0,,974.1,3
430000.0,,975.8,3
440000.0,,974.1,3
450000.0,,974.5,3
460000.0,,980.8,3
470000.0,,975.2,3
480000.0,,980.5,3
490000.0,,978.7,3
500000.0,,980.6,3
0.0,2.163104,1.0,7
5000.0,,0.0,7
10000.0,,0.0,7
20000.0,,0.4,7
30000.0,,25.9,7
40000.0,,171.4,7
50000.0,,354.7,7
60000.0,,377.4,7
70000.0,,492.1,7
80000.0,,536.0,7
90000.0,,537.8,7
100000.0,,567.7,7
110000.0,,560.0,7
120000.0,,580.2,7
130000.0,,566.9,7
140000.0,,568.5,7
150000.0,,577.9,7
160000.0,,550.0,7
170000.0,,588.7,7
180000.0,,565.0,7
190000.0,,549.5,7
200000.0,,564.8,7
210000.0,,519.9,7
220000.0,,580.1,7
230000.0,,558.6,7
240000.0,,509.9,7
250000.0,,588.8,7
260000.0,,562.0,7
270000.0,,571.8,7
280000.0,,564.8,7
290000.0,,568.3,7
300000.0,,460.1,7
310000.0,,574.8,7
320000.0,,585.5,7
330000.0,,594.9,7
340000.0,,582.2,7
350000.0,,594.4,7
360000.0,,639.6,7
370000.0,,571.8,7
380000.0,,604.0,7
390000.0,,584.0,7
400000.0,,581.4,7
410000.0,,594.9,7
420000.0,,599.0,7
430000.0,,598.3,7
440000.0,,590.7,7
450000.0,,566.9,7
460000.0,,699.8,7
470000.0,,736.9,7
480000.0,,760.5,7
490000.0,,866.7,7
500000.0,,930.1,7
0.0,2.163104,0.1,2
5000.0,,0.0,2
10000.0,,0.0,2
20000.0,,43.9,2
30000.0,,616.8,2
40000.0,,741.7,2
50000.0,,734.6,2
60000.0,,757.9,2
70000.0,,695.0,2
80000.0,,775.1,2
90000.0,,779.5,2
100000.0,,811.9,2
110000.0,,749.2,2
120000.0,,737.8,2
130000.0,,826.5,2
140000.0,,828.0,2
150000.0,,814.4,2
160000.0,,851.0,2
170000.0,,881.1,2
180000.0,,815.3,2
190000.0,,904.2,2
200000.0,,832.5,2
210000.0,,827.1,2
220000.0,,852.6,2
230000.0,,864.6,2
240000.0,,974.8,2
250000.0,,982.2,2
260000.0,,943.0,2
270000.0,,863.6,2
280000.0,,830.2,2
290000.0,,858.7,2
300000.0,,977.9,2
310000.0,,879.5,2
320000.0,,977.9,2
330000.0,,982.7,2
340000.0,,975.0,2
350000.0,,894.7,2
360000.0,,881.6,2
370000.0,,981.5,2
380000.0,,978.2,2
390000.0,,926.7,2
400000.0,,979.3,2
410000.0,,977.4,2
420000.0,,979.5,2
430000.0,,878.7,2
440000.0,,978.0,2
450000.0,,976.8,2
460000.0,,910.6,2
470000.0,,983.1,2
480000.0,,977.0,2
490000.0,,941.2,2
500000.0,,982.4,2
0.0,2.163104,0.7,5
5000.0,,0.0,5
10000.0,,4.3,5
20000.0,,327.7,5
30000.0,,514.2,5
40000.0,,554.2,5
