step,time,reward,seed
0.0,3.9505533999999995,57.6,0
0.0,3.9505533999999995,326.1,7
5000.0,,198.7,7
10000.0,,100.5,7
20000.0,,79.1,7
30000.0,,298.3,7
40000.0,,100.0,7
50000.0,,337.0,7
60000.0,,384.4,7
70000.0,,100.0,7
80000.0,,394.0,7
90000.0,,198.5,7
100000.0,,2.3,7
110000.0,,198.7,7
120000.0,,197.5,7
130000.0,,585.7,7
140000.0,,353.3,7
150000.0,,387.4,7
160000.0,,382.8,7
170000.0,,488.1,7
180000.0,,486.9,7
190000.0,,592.0,7
200000.0,,649.9,7
210000.0,,294.1,7
220000.0,,676.1,7
230000.0,,296.4,7
240000.0,,587.3,7
250000.0,,782.3,7
260000.0,,942.3,7
270000.0,,681.8,7
280000.0,,763.6,7
290000.0,,677.3,7
300000.0,,730.1,7
310000.0,,477.4,7
320000.0,,780.9,7
330000.0,,828.1,7
340000.0,,771.4,7
350000.0,,960.5,7
360000.0,,868.1,7
370000.0,,878.0,7
380000.0,,871.4,7
390000.0,,869.1,7
400000.0,,966.4,7
410000.0,,952.1,7
420000.0,,967.1,7
430000.0,,681.6,7
440000.0,,962.9,7
450000.0,,879.1,7
460000.0,,973.7,7
470000.0,,969.3,7
480000.0,,966.8,7
490000.0,,958.2,7
500000.0,,961.1,7
0.0,3.9505533999999995,224.7,3
5000.0,,100.0,3
10000.0,,200.6,3
20000.0,,200.0,3
30000.0,,293.1,3
40000.0,,205.1,3
50000.0,,152.0,3
60000.0,,100.0,3
70000.0,,95.2,3
80000.0,,269.3,3
90000.0,,196.3,3
100000.0,,297.7,3
110000.0,,103.9,3
120000.0,,491.5,3
130000.0,,296.7,3
140000.0,,391.9,3
150000.0,,296.1,3
160000.0,,95.8,3
170000.0,,297.6,3
180000.0,,100.0,3
190000.0,,480.4,3
200000.0,,580.9,3
210000.0,,296.6,3
220000.0,,427.9,3
230000.0,,389.3,3
240000.0,,285.7,3
250000.0,,578.7,3
260000.0,,386.4,3
270000.0,,285.4,3
280000.0,,627.8,3
290000.0,,679.9,3
300000.0,,685.8,3
310000.0,,558.2,3
320000.0,,845.6,3
330000.0,,671.2,3
340000.0,,474.5,3
350000.0,,888.7,3
360000.0,,703.5,3
370000.0,,753.7,3
380000.0,,657.6,3
390000.0,,745.6,3
400000.0,,961.3,3
410000.0,,868.2,3
420000.0,,940.0,3
430000.0,,947.3,3
440000.0,,875.1,3
450000.0,,883.4,3
460000.0,,855.2,3
470000.0,,958.1,3
480000.0,,954.5,3
490000.0,,763.9,3
500000.0,,759.2,3
0.0,3.9505533999999995,97.6,5
5000.0,,299.2,5
10000.0,,397.8,5
20000.0,,202.4,5
30000.0,,202.2,5
40000.0,,199.5,5
50000.0,,0.0,5
60000.0,,100.9,5
70000.0,,200.5,5
80000.0,,194.9,5
90000.0,,485.2,5
100000.0,,393.2,5
110000.0,,200.5,5
120000.0,,567.9,5
130000.0,,371.9,5
140000.0,,104.9,5
150000.0,,205.4,5
160000.0,,268.2,5
170000.0,,582.5,5
180000.0,,781.2,5
190000.0,,548.6,5
200000.0,,676.3,5
210000.0,,587.5,5
220000.0,,640.2,5
230000.0,,669.4,5
240000.0,,767.1,5
250000.0,,814.5,5
260000.0,,665.0,5
270000.0,,904.4,5
280000.0,,877.3,5
290000.0,,935.5,5
300000.0,,969.4,5
310000.0,,880.1,5
320000.0,,947.3,5
330000.0,,963.6,5
340000.0,,971.3,5
350000.0,,883.8,5
360000.0,,970.5,5
370000.0,,972.8,5
380000.0,,966.4,5
390000.0,,866.5,5
400000.0,,860.5,5
410000.0,,883.2,5
420000.0,,961.5,5
430000.0,,970.8,5
440000.0,,960.0,5
450000.0,,878.0,5
460000.0,,948.8,5
470000.0,,877.0,5
480000.0,,968.6,5
490000.0,,957.3,5
500000.0,,963.5,5
0.0,3.9505533999999995,225.0,6
5000.0,,0.4,6
10000.0,,100.0,6
20000.0,,97.6,6
30000.0,,588.9,6
40000.0,,100.0,6
50000.0,,0.0,6
60000.0,,377.3,6
70000.0,,518.9,6
80000.0,,259.4,6
90000.0,,394.7,6
100000.0,,192.6,6
110000.0,,399.2,6
120000.0,,479.2,6
130000.0,,473.0,6
140000.0,,389.4,6
150000.0,,374.9,6
160000.0,,518.5,6
170000.0,,494.7,6
180000.0,,596.3,6
190000.0,,697.7,6
200000.0,,582.5,6
210000.0,,772.1,6
220000.0,,768.3,6
230000.0,,868.4,6
240000.0,,964.4,6
250000.0,,868.4,6
260000.0,,944.5,6
270000.0,,714.6,6
280000.0,,869.2,6
290000.0,,678.2,6
300000.0,,975.5,6
310000.0,,964.0,6
320000.0,,879.7,6
330000.0,,960.0,6
340000.0,,835.2,6
350000.0,,946.7,6
360000.0,,965.8,6
370000.0,,848.8,6
380000.0,,970.1,6
390000.0,,870.3,6
400000.0,,871.4,6
410000.0,,967.6,6
420000.0,,962.3,6
430000.0,,957.1,6
440000.0,,958.5,6
450000.0,,977.0,6
460000.0,,970.1,6
470000.0,,957.1,6
480000.0,,773.1,6
490000.0,,968.2,6
500000.0,,879.9,6
0.0,3.9505533999999995,123.3,1
5000.0,,306.3,1
10000.0,,0.7,1
20000.0,,100.6,1
30000.0,,191.3,1
40000.0,,170.9,1
50000.0,,100.0,1
60000.0,,200.0,1
70000.0,,296.3,1
80000.0,,300.0,1
90000.0,,395.9,1
100000.0,,282.8,1
110000.0,,297.4,1
120000.0,,399.6,1
130000.0,,249.6,1
140000.0,,393.4,1
150000.0,,393.9,1
160000.0,,276.2,1
170000.0,,136.1,1
180000.0,,353.1,1
190000.0,,482.8,1
200000.0,,96.7,1
210000.0,,199.7,1
220000.0,,337.8,1
230000.0,,491.7,1
240000.0,,239.5,1
250000.0,,396.7,1
260000.0,,763.7,1
270000.0,,784.8,1
280000.0,,395.0,1
290000.0,,590.4,1
300000.0,,564.7,1
310000.0,,681.9,1
320000.0,,361.2,1
330000.0,,498.0,1
340000.0,,686.2,1
350000.0,,520.5,1
360000.0,,553.0,1
370000.0,,589.5,1
380000.0,,768.9,1
390000.0,,681.9,1
400000.0,,494.9,1
410000.0,,769.7,1
420000.0,,570.0,1
430000.0,,772.8,1
440000.0,,770.8,1
450000.0,,485.9,1
460000.0,,772.1,1
470000.0,,677.3,1
480000.0,,955.1,1
490000.0,,787.4,1
500000.0,,783.5,1
0.0,3.9505533999999995,147.9,4
5000.0,,198.3,4
10000.0,,100.0,4
20000.0,,384.8,4
30000.0,,291.3,4
40000.0,,1.7,4
50000.0,,303.1,4
60000.0,,199.6,4
70000.0,,211.5,4
80000.0,,390.6,4
90000.0,,618.5,4
100000.0,,377.5,4
110000.0,,539.5,4
120000.0,,564.4,4
130000.0,,304.1,4
140000.0,,322.9,4
150000.0,,182.5,4
160000.0,,773.7,4
170000.0,,387.3,4
180000.0,,692.4,4
190000.0,,867.8,4
200000.0,,872.4,4
210000.0,,580.7,4
220000.0,,591.8,4
230000.0,,668.1,4
240000.0,,678.4,4
250000.0,,739.6,4
260000.0,,977.6,4
270000.0,,863.6,4
280000.0,,777.7,4
290000.0,,672.2,4
300000.0,,611.7,4
310000.0,,662.8,4
320000.0,,767.8,4
330000.0,,877.5,4
340000.0,,923.1,4
350000.0,,867.1,4
360000.0,,971.9,4
370000.0,,865.2,4
380000.0,,862.3,4
390000.0,,953.7,4
400000.0,,858.7,4
410000.0,,870.2,4
420000.0,,982.2,4
430000.0,,937.6,4
440000.0,,862.1,4
450000.0,,981.7,4
460000.0,,958.7,4
470000.0,,968.6,4
480000.0,,983.0,4
490000.0,,928.1,4
500000.0,,850.5,4
0.0,3.9505533999999995,282.1,2
5000.0,,103.7,2
10000.0,,102.4,2
20000.0,,100.0,2
30000.0,,290.2,2
40000.0,,101.7,2
50000.0,,194.8,2
60000.0,,484.7,2
70000.0,,271.1,2
80000.0,,270.7,2
90000.0,,283.8,2
100000.0,,493.7,2
110000.0,,197.9,2
120000.0,,402.8,2
130000.0,,294.8,2
140000.0,,579.6,2
150000.0,,681.8,2
160000.0,,841.1,2
170000.0,,678.8,2
180000.0,,755.8,2
190000.0,,616.3,2
200000.0,,755.9,2
210000.0,,874.4,2
220000.0,,754.9,2
230000.0,,856.5,2
240000.0,,844.6,2
250000.0,,942.2,2
260000.0,,921.1,2
270000.0,,759.6,2
280000.0,,956.7,2
290000.0,,970.5,2
300000.0,,965.7,2
310000.0,,954.1,2
320000.0,,865.3,2
330000.0,,936.8,2
340000.0,,889.2,2
350000.0,,870.2,2
360000.0,,907.6,2
370000.0,,978.4,2
380000.0,,985.8,2
