step,time,reward,seed
0.0,2.1713355,18.1,0
5000.0,42.151154,202.3,0
10000.0,81.43079,0.8,0
20000.0,196.21426,100.0,0
30000.0,305.52173,100.0,0
40000.0,448.8579,100.0,0
50000.0,570.3282,100.8,0
60000.0,718.3835,0.0,0
70000.0,856.6494999999999,0.0,0
80000.0,963.5254000000001,293.1,0
90000.0,1113.7084,198.9,0
100000.0,1251.599,298.5,0
110000.0,1373.9298,100.0,0
120000.0,1536.5972,0.6,0
130000.0,1666.7603,0.5,0
140000.0,1827.4644,98.4,0
150000.0,2014.7192,196.4,0
160000.0,2142.63,0.0,0
170000.0,2265.2585,100.6,0
180000.0,2444.7139,0.0,0
190000.0,2641.8015,0.3,0
200000.0,2871.0564,0.8,0
210000.0,3063.609,197.1,0
220000.0,3260.74,201.3,0
230000.0,3475.2480000000005,0.0,0
240000.0,3680.8455000000004,0.0,0
250000.0,3884.775,2.7,0
260000.0,4110.002,100.0,0
270000.0,4293.0405,0.0,0
280000.0,4455.066,199.1,0
290000.0,4708.5586,13.6,0
300000.0,4839.6533,0.0,0
310000.0,4946.8433,198.5,0
320000.0,5168.2383,94.9,0
330000.0,5351.9355,0.0,0
340000.0,5520.3135,99.0,0
350000.0,5663.066,1.5,0
360000.0,5789.4106,100.0,0
370000.0,5986.515,100.6,0
380000.0,6192.0835,0.3,0
390000.0,6403.268,0.0,0
400000.0,6551.063,193.0,0
410000.0,6736.291500000001,100.0,0
420000.0,6940.106,0.0,0
430000.0,7096.616,0.0,0
440000.0,7273.229000000001,100.0,0
450000.0,7446.475,92.6,0
460000.0,7582.389,0.0,0
470000.0,7726.622,0.0,0
480000.0,7872.412599999999,100.0,0
490000.0,8059.253,0.0,0
500000.0,8225.781,201.4,0
0.0,2.1713355,38.8,6
5000.0,42.151154,0.0,6
10000.0,81.43079,97.3,6
20000.0,196.21426,1.6,6
30000.0,305.52173,119.5,6
40000.0,448.8579,216.6,6
50000.0,570.3282,0.0,6
60000.0,718.3835,106.8,6
70000.0,856.6494999999999,296.3,6
80000.0,963.5254000000001,220.6,6
90000.0,1113.7084,263.8,6
100000.0,1251.599,9.2,6
110000.0,1373.9298,390.4,6
120000.0,1536.5972,562.5,6
130000.0,1666.7603,387.4,6
140000.0,1827.4644,197.5,6
150000.0,2014.7192,389.0,6
160000.0,2142.63,254.0,6
170000.0,2265.2585,577.5,6
180000.0,2444.7139,395.8,6
190000.0,2641.8015,783.0,6
200000.0,2871.0564,377.5,6
210000.0,3063.609,578.0,6
220000.0,3260.74,678.2,6
230000.0,3475.2480000000005,383.0,6
240000.0,3680.8455000000004,572.9,6
250000.0,3884.775,384.0,6
260000.0,4110.002,670.2,6
270000.0,4293.0405,288.9,6
280000.0,4455.066,667.9,6
290000.0,4708.5586,668.8,6
300000.0,4839.6533,573.5,6
310000.0,4946.8433,464.6,6
320000.0,5168.2383,475.3,6
330000.0,5351.9355,674.2,6
340000.0,5520.3135,571.2,6
350000.0,5663.066,868.2,6
360000.0,5789.4106,669.8,6
370000.0,5986.515,858.9,6
380000.0,6192.0835,861.4,6
390000.0,6403.268,754.4,6
400000.0,6551.063,855.9,6
410000.0,6736.291500000001,771.2,6
420000.0,6940.106,492.4,6
430000.0,7096.616,849.3,6
440000.0,7273.229000000001,853.9,6
450000.0,7446.475,963.9,6
460000.0,7582.389,963.1,6
470000.0,7726.622,826.9,6
480000.0,7872.412599999999,658.2,6
490000.0,8059.253,892.1,6
500000.0,8225.781,940.6,6
0.0,2.1713355,24.1,12
5000.0,42.151154,100.0,12
10000.0,81.43079,0.0,12
20000.0,196.21426,100.0,12
30000.0,305.52173,201.4,12
40000.0,448.8579,0.4,12
50000.0,570.3282,0.8,12
60000.0,718.3835,191.8,12
70000.0,856.6494999999999,98.7,12
80000.0,963.5254000000001,0.7,12
90000.0,1113.7084,197.3,12
100000.0,1251.599,203.5,12
110000.0,1373.9298,111.9,12
120000.0,1536.5972,3.4,12
130000.0,1666.7603,0.0,12
140000.0,1827.4644,1.3,12
150000.0,2014.7192,198.7,12
160000.0,2142.63,198.7,12
170000.0,2265.2585,291.2,12
180000.0,2444.7139,3.4,12
190000.0,2641.8015,0.0,12
200000.0,2871.0564,283.0,12
210000.0,3063.609,414.7,12
220000.0,3260.74,374.1,12
230000.0,3475.2480000000005,1.5,12
240000.0,3680.8455000000004,293.9,12
250000.0,3884.775,379.3,12
260000.0,4110.002,390.1,12
270000.0,4293.0405,483.4,12
280000.0,4455.066,199.3,12
290000.0,4708.5586,391.6,12
300000.0,4839.6533,560.3,12
310000.0,4946.8433,288.8,12
320000.0,5168.2383,470.4,12
330000.0,5351.9355,289.9,12
340000.0,5520.3135,350.1,12
350000.0,5663.066,643.0,12
360000.0,5789.4106,667.7,12
370000.0,5986.515,658.7,12
380000.0,6192.0835,472.4,12
390000.0,6403.268,290.7,12
400000.0,6551.063,567.8,12
410000.0,6736.291500000001,561.8,12
420000.0,6940.106,473.3,12
430000.0,7096.616,481.3,12
440000.0,7273.229000000001,758.2,12
450000.0,7446.475,478.7,12
460000.0,7582.389,379.7,12
470000.0,7726.622,666.2,12
480000.0,7872.412599999999,586.8,12
490000.0,8059.253,282.2,12
500000.0,8225.781,480.0,12
0.0,2.1713355,101.4,13
5000.0,42.151154,300.0,13
10000.0,81.43079,101.8,13
20000.0,196.21426,98.2,13
30000.0,305.52173,397.3,13
40000.0,448.8579,100.0,13
50000.0,570.3282,13.9,13
60000.0,718.3835,0.4,13
70000.0,856.6494999999999,97.7,13
80000.0,963.5254000000001,99.5,13
90000.0,1113.7084,0.0,13
100000.0,1251.599,99.8,13
110000.0,1373.9298,0.4,13
120000.0,1536.5972,0.8,13
130000.0,1666.7603,98.2,13
140000.0,1827.4644,286.5,13
150000.0,2014.7192,188.9,13
160000.0,2142.63,0.0,13
170000.0,2265.2585,285.0,13
180000.0,2444.7139,96.7,13
190000.0,2641.8015,165.9,13
200000.0,2871.0564,100.0,13
210000.0,3063.609,189.0,13
220000.0,3260.74,188.5,13
230000.0,3475.2480000000005,385.5,13
240000.0,3680.8455000000004,103.0,13
250000.0,3884.775,389.4,13
260000.0,4110.002,232.9,13
270000.0,4293.0405,298.8,13
280000.0,4455.066,350.6,13
290000.0,4708.5586,156.2,13
300000.0,4839.6533,312.8,13
310000.0,4946.8433,274.9,13
320000.0,5168.2383,286.0,13
330000.0,5351.9355,348.1,13
340000.0,5520.3135,116.6,13
350000.0,5663.066,294.6,13
360000.0,5789.4106,294.3,13
370000.0,5986.515,874.4,13
380000.0,6192.0835,353.5,13
390000.0,6403.268,296.7,13
400000.0,6551.063,186.4,13
410000.0,6736.291500000001,378.8,13
420000.0,6940.106,586.0,13
430000.0,7096.616,286.9,13
440000.0,7273.229000000001,196.5,13
450000.0,7446.475,576.5,13
460000.0,7582.389,577.5,13
470000.0,7726.622,526.1,13
480000.0,7872.412599999999,573.1,13
490000.0,8059.253,668.2,13
500000.0,8225.781,749.1,13
0.0,2.1713355,58.8,11
5000.0,42.151154,145.6,11
10000.0,81.43079,0.0,11
20000.0,196.21426,100.4,11
30000.0,305.52173,100.3,11
40000.0,448.8579,0.0,11
50000.0,570.3282,0.3,11
60000.0,718.3835,199.0,11
70000.0,856.6494999999999,298.1,11
80000.0,963.5254000000001,99.6,11
90000.0,1113.7084,294.3,11
100000.0,1251.599,166.8,11
110000.0,1373.9298,98.9,11
120000.0,1536.5972,294.7,11
130000.0,1666.7603,196.9,11
140000.0,1827.4644,98.2,11
150000.0,2014.7192,197.2,11
160000.0,2142.63,85.9,11
170000.0,2265.2585,272.3,11
180000.0,2444.7139,273.7,11
190000.0,2641.8015,195.1,11
200000.0,2871.0564,287.0,11
210000.0,3063.609,390.4,11
220000.0,3260.74,1.9,11
230000.0,3475.2480000000005,99.6,11
240000.0,3680.8455000000004,198.1,11
250000.0,3884.775,194.9,11
260000.0,4110.002,99.2,11
270000.0,4293.0405,284.4,11
