step,time,reward,seed
0.0,2.0114448,11.5,0
5000.0,40.20698,4.8,0
0.0,2.0114448,5.5,6
5000.0,40.20698,0.0,6
10000.0,,0.0,6
20000.0,,0.4,6
30000.0,,0.0,6
40000.0,,386.2,6
50000.0,,290.2,6
60000.0,,188.7,6
70000.0,,189.6,6
80000.0,,684.0,6
90000.0,,748.5,6
100000.0,,675.6,6
110000.0,,572.0,6
120000.0,,761.6,6
130000.0,,684.4,6
140000.0,,815.9,6
150000.0,,673.5,6
160000.0,,949.8,6
170000.0,,865.9,6
180000.0,,940.6,6
190000.0,,964.2,6
200000.0,,955.1,6
210000.0,,965.9,6
220000.0,,964.1,6
230000.0,,966.1,6
240000.0,,955.7,6
250000.0,,964.3,6
260000.0,,967.2,6
270000.0,,965.5,6
280000.0,,965.3,6
290000.0,,962.5,6
300000.0,,971.2,6
310000.0,,966.2,6
320000.0,,964.3,6
330000.0,,959.1,6
340000.0,,971.3,6
350000.0,,971.9,6
360000.0,,969.6,6
370000.0,,968.0,6
380000.0,,965.2,6
390000.0,,969.4,6
400000.0,,969.8,6
410000.0,,970.4,6
420000.0,,971.6,6
430000.0,,967.9,6
440000.0,,978.1,6
450000.0,,970.4,6
460000.0,,960.3,6
470000.0,,965.8,6
480000.0,,967.7,6
490000.0,,971.1,6
500000.0,,967.5,6
0.0,2.0114448,17.0,1
5000.0,40.20698,64.3,1
10000.0,,7.9,1
20000.0,,582.3,1
30000.0,,651.6,1
40000.0,,560.3,1
50000.0,,664.6,1
60000.0,,667.8,1
70000.0,,391.4,1
80000.0,,764.8,1
90000.0,,860.8,1
100000.0,,696.4,1
110000.0,,822.7,1
120000.0,,761.2,1
130000.0,,760.5,1
140000.0,,850.3,1
150000.0,,845.5,1
160000.0,,956.4,1
170000.0,,858.3,1
180000.0,,952.3,1
190000.0,,947.6,1
200000.0,,953.6,1
210000.0,,952.9,1
220000.0,,944.2,1
230000.0,,947.7,1
240000.0,,948.2,1
250000.0,,957.6,1
260000.0,,962.1,1
270000.0,,946.1,1
280000.0,,949.4,1
290000.0,,955.9,1
300000.0,,953.5,1
310000.0,,849.1,1
320000.0,,953.1,1
330000.0,,881.1,1
340000.0,,944.7,1
350000.0,,875.8,1
360000.0,,950.8,1
370000.0,,970.9,1
380000.0,,958.8,1
390000.0,,955.0,1
400000.0,,970.7,1
410000.0,,951.4,1
420000.0,,866.6,1
430000.0,,957.0,1
440000.0,,960.5,1
450000.0,,959.8,1
460000.0,,960.3,1
470000.0,,962.7,1
480000.0,,966.2,1
490000.0,,960.4,1
500000.0,,971.8,1
0.0,2.0114448,38.4,3
5000.0,40.20698,42.4,3
10000.0,,0.0,3
20000.0,,2.2,3
30000.0,,1.0,3
40000.0,,1.9,3
50000.0,,4.9,3
60000.0,,150.9,3
70000.0,,278.6,3
80000.0,,473.5,3
90000.0,,255.7,3
100000.0,,344.0,3
110000.0,,337.1,3
120000.0,,338.8,3
130000.0,,485.5,3
140000.0,,521.4,3
150000.0,,592.1,3
160000.0,,754.2,3
170000.0,,487.4,3
180000.0,,532.6,3
190000.0,,662.0,3
200000.0,,679.0,3
210000.0,,699.2,3
220000.0,,632.0,3
230000.0,,663.1,3
240000.0,,790.5,3
250000.0,,668.8,3
260000.0,,775.1,3
270000.0,,631.9,3
280000.0,,666.0,3
290000.0,,773.5,3
300000.0,,822.7,3
310000.0,,869.9,3
320000.0,,963.3,3
330000.0,,777.3,3
340000.0,,963.4,3
350000.0,,948.1,3
360000.0,,852.1,3
370000.0,,944.9,3
380000.0,,966.2,3
390000.0,,961.7,3
400000.0,,953.3,3
410000.0,,883.3,3
420000.0,,962.7,3
430000.0,,954.3,3
440000.0,,957.2,3
450000.0,,871.3,3
460000.0,,968.1,3
470000.0,,964.5,3
480000.0,,967.4,3
490000.0,,965.8,3
500000.0,,961.7,3
0.0,2.0114448,5.8,4
5000.0,40.20698,1.3,4
10000.0,,228.7,4
20000.0,,576.9,4
30000.0,,848.5,4
40000.0,,387.9,4
50000.0,,942.0,4
60000.0,,863.3,4
70000.0,,673.1,4
80000.0,,848.0,4
90000.0,,854.6,4
100000.0,,666.4,4
110000.0,,957.5,4
120000.0,,954.7,4
130000.0,,860.1,4
140000.0,,948.2,4
150000.0,,770.7,4
160000.0,,859.2,4
170000.0,,963.9,4
180000.0,,863.9,4
190000.0,,863.0,4
200000.0,,969.0,4
210000.0,,964.3,4
220000.0,,961.0,4
230000.0,,960.9,4
240000.0,,951.9,4
250000.0,,959.9,4
260000.0,,959.0,4
270000.0,,955.3,4
280000.0,,954.9,4
290000.0,,950.9,4
300000.0,,952.2,4
310000.0,,963.1,4
320000.0,,961.5,4
330000.0,,960.4,4
340000.0,,959.8,4
350000.0,,967.4,4
360000.0,,964.6,4
370000.0,,954.8,4
380000.0,,964.0,4
390000.0,,960.5,4
400000.0,,963.2,4
410000.0,,865.5,4
420000.0,,951.5,4
430000.0,,953.2,4
440000.0,,957.0,4
450000.0,,964.1,4
460000.0,,860.9,4
470000.0,,868.5,4
480000.0,,964.1,4
490000.0,,963.9,4
500000.0,,959.4,4
0.0,2.0114448,11.1,2
5000.0,40.20698,0.2,2
10000.0,,0.0,2
20000.0,,0.0,2
30000.0,,254.1,2
40000.0,,572.6,2
50000.0,,784.3,2
60000.0,,845.9,2
70000.0,,779.6,2
80000.0,,834.0,2
90000.0,,861.7,2
100000.0,,962.3,2
110000.0,,961.8,2
120000.0,,968.2,2
130000.0,,962.1,2
140000.0,,951.0,2
150000.0,,961.4,2
160000.0,,956.4,2
170000.0,,950.0,2
180000.0,,959.4,2
190000.0,,925.1,2
200000.0,,972.1,2
210000.0,,967.1,2
220000.0,,962.5,2
230000.0,,962.5,2
240000.0,,970.9,2
250000.0,,960.5,2
260000.0,,867.7,2
270000.0,,973.5,2
280000.0,,963.0,2
290000.0,,971.2,2
300000.0,,965.3,2
310000.0,,952.3,2
320000.0,,966.7,2
330000.0,,963.3,2
340000.0,,968.5,2
350000.0,,959.9,2
360000.0,,889.7,2
370000.0,,969.8,2
380000.0,,969.4,2
390000.0,,965.9,2
400000.0,,960.7,2
410000.0,,971.6,2
420000.0,,979.2,2
430000.0,,977.2,2
440000.0,,779.0,2
450000.0,,965.1,2
460000.0,,966.7,2
470000.0,,968.6,2
480000.0,,876.9,2
490000.0,,973.8,2
500000.0,,974.2,2
0.0,2.0114448,15.5,5
5000.0,40.20698,0.0,5
10000.0,,0.6,5
20000.0,,492.3,5
30000.0,,209.8,5
40000.0,,483.3,5
50000.0,,670.4,5
60000.0,,676.7,5
70000.0,,686.5,5
80000.0,,675.5,5
90000.0,,772.7,5
100000.0,,757.9,5
110000.0,,855.9,5
120000.0,,822.3,5
130000.0,,947.2,5
140000.0,,944.8,5
150000.0,,941.4,5
160000.0,,942.6,5
170000.0,,946.0,5
180000.0,,762.0,5
190000.0,,955.1,5
200000.0,,956.1,5
210000.0,,966.4,5
220000.0,,959.5,5
230000.0,,954.8,5
240000.0,,964.5,5
250000.0,,962.4,5
260000.0,,950.1,5
270000.0,,967.6,5
280000.0,,967.2,5
290000.0,,952.9,5
300000.0,,959.8,5
310000.0,,969.9,5
320000.0,,962.0,5
330000.0,,962.6,5
340000.0,,961.4,5
350000.0,,962.0,5
360000.0,,967.3,5
370000.0,,968.9,5
380000.0,,970.1,5
390000.0,,880.5,5
400000.0,,966.0,5
410000.0,,975.1,5
420000.0,,965.8,5
430000.0,,971.8,5
440000.0,,963.9,5
450000.0,,954.2,5
460000.0,,974.3,5
470000.0,,966.9,5
480000.0,,965.1,5
490000.0,,968.4,5
500000.0,,967.7,5
0.0,2.0114448,4.0,7
5000.0,40.20698,0.3,7
10000.0,,0.4,7
20000.0,,1.1,7
30000.0,,98.0,7
40000.0,,342.7,7
50000.0,,443.4,7
60000.0,,792.6,7
70000.0,,763.4,7
80000.0,,859.1,7
90000.0,,854.3,7
100000.0,,665.8,7
110000.0,,759.6,7
120000.0,,759.1,7
130000.0,,954.2,7
140000.0,,946.9,7
150000.0,,857.4,7
160000.0,,965.4,7
170000.0,,954.9,7
180000.0,,869.5,7
190000.0,,939.5,7
200000.0,,957.1,7
210000.0,,945.2,7
220000.0,,954.2,7
230000.0,,951.8,7
240000.0,,953.6,7
250000.0,,959.5,7
260000.0,,870.4,7
270000.0,,950.8,7
280000.0,,958.5,7
290000.0,,952.0,7
300000.0,,957.6,7
310000.0,,961.9,7
320000.0,,962.9,7
330000.0,,958.9,7
340000.0,,957.4,7
350000.0,,969.5,7
360000.0,,968.3,7
370000.0,,961.7,7
380000.0,,966.2,7
390000.0,,871.3,7
400000.0,,964.8,7
410000.0,,956.8,7
420000.0,,958.1,7
430000.0,,767.4,7
440000.0,,963.9,7
450000.0,,964.3,7
460000.0,,962.7,7
470000.0,,964.6,7
480000.0,,964.8,7
490000.0,,957.2,7
500000.0,,967.4,7
