step,time,reward,seed,critic_loss
0,0.6615855693817139,216.03133745058508,6,
25054,1648.0086555480957,267.5581785859593,6,0.4883297085762024
50066,3552.872352838516,233.33789509429312,6,1033.0048828125
75124,5468.015189409256,280.74511651232666,6,1583.5328369140625
100162,7382.320735454559,193.7368711186153,6,2224.780517578125
125174,9294.61075258255,477.93737962830255,6,1761.209716796875
150215,11203.488087177277,158.35644500632364,6,2543.23388671875
175237,13117.043095827104,256.5264087771324,6,4507.84375
200283,15030.64700126648,258.70802587553163,6,7113.9853515625
225372,16951.108773946762,419.0551070321038,6,14396.5029296875
250376,18858.816965579987,130.5809694451541,6,23106.76171875
275408,20774.916355848312,267.30214224489146,6,21914.783203125
300420,22687.894551992416,277.97162073521645,6,32970.71875
325453,24599.408351898197,207.3968660306049,6,34807.0703125
350509,26513.39345192909,475.391728085617,6,123077.8203125
375514,28423.22439026833,455.7812077171062,6,71432.140625
400550,30337.822734594345,645.8294989336538,6,64057.875
425601,32253.610619068146,491.2586195131288,6,65055.69140625
450639,34168.631202459335,392.0125683979094,6,45362.6875
475685,36081.59055638313,471.2012045566418,6,31719.18359375
500000,37934.77961373329,387.8310948975558,6,
0,0.8397037982940674,277.4046252208005,5,
25006,1198.9173383712769,91.80591654613694,5,0.2213543355464935
50055,2555.756952762604,298.65827866070623,5,424.0828857421875
75057,3917.3149366378784,81.05603379262757,5,2445.1162109375
100069,5288.230570077896,441.9039674069383,5,2789.15966796875
125096,6665.224180936813,279.75693174098456,5,6370.0029296875
150130,8043.185821294785,459.67172562648,5,6543.65966796875
175155,9421.898872852324,298.3409503627036,5,3355.26318359375
200200,10803.209853887558,267.4900406135607,5,3799.2490234375
225256,12184.112429618835,273.2720733798114,5,3951.841796875
250291,13565.108736276628,224.30639872368857,5,4221.92626953125
275302,14944.606439828873,280.99353164600296,5,6011.76953125
300304,16322.842549562454,263.4648015415266,5,8948.244140625
325361,17708.384789705276,130.33156522641667,5,10131.5888671875
350396,19094.104660749435,457.0450648828817,5,20950.6953125
375441,20477.76886677742,352.3200256338513,5,11856.236328125
400468,21856.051832914352,425.1948515973587,5,6148.044921875
425495,23233.19107747078,467.605863520623,5,5449.8251953125
450501,24606.433079242703,239.88305240982476,5,16743.29296875
475516,25985.370635032654,366.6795226344042,5,23748.93359375
500000,27330.998210668564,466.9568928774271,5,
0,0.5361781120300293,165.5906262710239,7,
25040,1676.874762058258,152.64874789278323,7,0.0773013532161712
50048,3621.9370017051697,225.00185297265776,7,282.8062744140625
75062,5568.3572473526,285.2162619765537,7,1284.537109375
100072,7512.471228122711,431.89378779336266,7,2595.21337890625
125122,9458.271035194395,301.8270822648442,7,4706.982421875
150157,11401.528025388718,287.50860183195914,7,3049.96044921875
175209,13347.312529563904,314.8762526927768,7,2429.658203125
200253,15294.681688070295,365.54065363910775,7,2423.55322265625
225331,17246.210852861404,276.42384696493167,7,1854.286865234375
250348,19191.63570380211,437.2745171123723,7,1733.7618408203125
275376,21140.306047677997,452.72701363081126,7,1441.117431640625
300389,23090.128059864044,352.8128085331232,7,1779.72265625
325449,25046.02888917923,345.7069075022458,7,1342.009765625
350497,26998.57081723213,370.9438609922171,7,1975.788818359375
375540,28941.465081691746,288.5388640995624,7,7568.552734375
400582,30882.01172685623,195.83482999945744,7,10110.865234375
425622,32823.259143829346,313.6591411995606,7,26827.4296875
